(iter 10) [0.0, 0.1905, -0.1034] = 453.6945, sampling [1.0, -0.4161, 0.1988]. Recommendation = [0.0, 0.1905, -0.1034], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1905, -0.1034] = 453.6945, sampling [1.0, -0.1561, 0.0769]. Recommendation = [0.0, -0.4161, 0.1988], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1905, -0.1034] = 453.6945, sampling [1.0, -0.5020, 0.5203]. Recommendation = [0.0, -0.1561, 0.0769], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1905, -0.1034] = 453.6945, sampling [1.0, -0.0973, 0.4346]. Recommendation = [0.0, -0.1561, 0.0769], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1905, -0.1034] = 453.6945, sampling [1.0, -0.7727, 0.3906]. Recommendation = [0.0, -0.1561, 0.0769], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1905, -0.1034] = 453.6945, sampling [1.0, 0.2599, 0.2617]. Recommendation = [0.0, -0.1561, 0.0769], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1905, -0.1034] = 453.6945, sampling [1.0, 0.5327, -0.0310]. Recommendation = [0.0, -0.1561, 0.0769], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1905, -0.1034] = 453.6945, sampling [1.0, -0.3503, 0.3927]. Recommendation = [0.0, 0.2377, -0.0067], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1905, -0.1034] = 453.6945, sampling [1.0, -0.2093, -0.2430]. Recommendation = [0.0, 0.2377, -0.0067], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1905, -0.1034] = 453.6945, sampling [1.0, -0.6366, -0.0346]. Recommendation = [0.0, -0.0269, 0.0352], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1905, -0.1034] = 453.6945, sampling [1.0, 0.2284, -0.3507]. Recommendation = [0.0, 0.2377, -0.0067], Current Cost = 5015.00, Rho = 1.000
