(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -1.6882, 0.9137]. Recommendation = [0.0, -1.1617, 0.6863], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.8502, 0.5030]. Recommendation = [0.0, -1.1617, 0.6863], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.8157, 0.2230]. Recommendation = [0.0, -0.8502, 0.5030], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.7077, 0.8251]. Recommendation = [0.0, -0.8502, 0.5030], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.6316, 0.4317]. Recommendation = [0.0, -0.8502, 0.5030], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.5941, 0.6248]. Recommendation = [0.0, -0.7539, 0.5546], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.8567, 0.7502]. Recommendation = [0.0, -0.7539, 0.5546], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.6858, -0.1480]. Recommendation = [0.0, -0.7539, 0.5546], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.5835, 0.2546]. Recommendation = [0.0, -0.7539, 0.5546], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.7539, 0.5546]. Recommendation = [0.0, -0.7539, 0.5546], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.4242, 0.4481]. Recommendation = [0.0, -0.6316, 0.4317], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.4542, 0.0685]. Recommendation = [0.0, -0.6219, 0.3560], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.7614, 1.3504]. Recommendation = [0.0, -0.6219, 0.3560], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.1617, 0.6863] = 407.6455, sampling [1.0, -0.3532, 0.2284]. Recommendation = [0.0, -0.6219, 0.3560], Current Cost = 5018.00, Rho = 1.000
