(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.1541, -0.0195]. Recommendation = [0.0, 0.6323, 0.1273], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.1290, 0.4993]. Recommendation = [0.0, -0.1541, -0.0195], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.5915, 0.0292]. Recommendation = [0.0, -0.1541, -0.0195], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.1724, -0.2758]. Recommendation = [0.0, -0.2558, 0.0762], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.3202, -0.4103]. Recommendation = [0.0, -0.0528, 0.0058], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.1319, 0.2289]. Recommendation = [0.0, 0.0654, -0.1577], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.5578, 0.5077]. Recommendation = [0.0, 0.0654, -0.1577], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.9451, 0.1523]. Recommendation = [0.0, -0.0528, 0.0058], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.4557, 0.9270]. Recommendation = [0.0, -0.0528, 0.0058], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.3619, 0.8300]. Recommendation = [0.0, 0.0654, -0.1577], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.4559, 0.3920]. Recommendation = [0.0, 0.0654, -0.1577], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.7493, -0.4032]. Recommendation = [0.0, 0.3277, 0.2208], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.1017, 1.0422]. Recommendation = [0.0, 0.3277, 0.2208], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.2614, 0.4934]. Recommendation = [0.0, 0.3277, 0.2208], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.1252, -0.0563]. Recommendation = [0.0, 0.3277, 0.2208], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.0306, -0.2853]. Recommendation = [0.0, 0.3277, 0.2208], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.7675, 0.3764]. Recommendation = [0.0, 0.3277, 0.2208], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.0888, 0.2644]. Recommendation = [0.0, 0.3277, 0.2208], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.3819, -0.0414]. Recommendation = [0.0, 0.3277, 0.2208], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.7239, 0.7612]. Recommendation = [0.0, 0.3277, 0.2208], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.7032, 0.7015]. Recommendation = [0.0, 0.3277, 0.2208], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.4361, -0.1698]. Recommendation = [0.0, -0.7337, 0.5797], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.3277, 0.2208]. Recommendation = [0.0, 0.3277, 0.2208], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.9253, 1.1295]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.5488, 1.5145]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.4269, 1.4008]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.3146, -0.8352]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -1.2095, 0.9003]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -1.4513, 0.3141]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.1694, -0.5303]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.9512, 1.1080]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.9024, 0.5181]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 1.2187, 0.8688]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 1.2004, 1.4849]. Recommendation = [0.0, 0.8537, 0.7497], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.8439, 1.4780]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 1.5159, 1.1659]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 1.1783, 1.2891]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.5133, 1.0905]. Recommendation = [0.0, 1.1371, 1.3045], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 1.1184, 1.9431]. Recommendation = [0.0, 1.1371, 1.3045], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.6790, 1.9158]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 1.5421, 1.7056]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.8537, 0.7497]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 1.0658, 1.6829]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.3333, 0.5416]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.8130, 0.2504]. Recommendation = [0.0, 0.4932, 0.1059], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.6337, 1.0148]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.5835, 0.5891]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.0331, 0.6572]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.0127, 1.6701]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 1.3055, 1.8022]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 1.1626, 0.5687]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.2657, -0.5447]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.7314, 0.8570]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.2418, -0.2290]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -1.1325, 1.3760]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.7947, 1.3520]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -1.0417, 1.7760]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.9520, 1.5811]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -1.1031, 1.1747]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.8042, 1.2080]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 1.9988, 1.8289]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.9155, -0.8417]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.4932, 0.1059]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.7365, 1.9111]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.2558, 0.0762]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.7337, 0.5797]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.5022, -0.5810]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.9401, 0.7413]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.4122, 0.7292]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 1.5319, 1.4925]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -1.2868, 1.6375]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -1.3518, 1.2001]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.9707, 0.0145]. Recommendation = [0.0, 0.5279, 0.3988], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 0.6413, -0.2447]. Recommendation = [0.0, 0.8537, 0.7497], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -1.1558, -0.3131]. Recommendation = [0.0, 0.8537, 0.7497], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -1.5459, 1.8968]. Recommendation = [0.0, 0.8537, 0.7497], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -0.8513, 1.0221]. Recommendation = [0.0, 0.8537, 0.7497], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, -1.3967, 1.5441]. Recommendation = [0.0, 0.8537, 0.7497], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, 0.6323, 0.1273] = 448.7407, sampling [1.0, 1.6133, 0.7100]. Recommendation = [0.0, 0.8537, 0.7497], Current Cost = 5083.00, Rho = 1.000
