(iter 5) [0.0, -0.5349, -0.2501] = 425.1936, sampling [0.0, -0.3510, 0.7277]. Recommendation = [0.0, -0.5349, -0.2501], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.5349, -0.2501] = 425.1936, sampling [0.0, -1.0264, 1.3227]. Recommendation = [0.0, -0.5349, -0.2501], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, -1.0264, 1.3227] = 444.9460, sampling [0.0, -0.9006, 0.6649]. Recommendation = [0.0, -1.0264, 1.3227], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.9006, 0.6649] = 450.5503, sampling [0.0, -1.5748, 1.9898]. Recommendation = [0.0, -0.9006, 0.6649], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, -0.9006, 0.6649] = 450.5503, sampling [0.0, -1.7108, 1.2894]. Recommendation = [0.0, -0.9006, 0.6649], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, -0.9006, 0.6649] = 450.5503, sampling [0.0, -0.7234, 1.8980]. Recommendation = [0.0, -0.9006, 0.6649], Current Cost = 10000.00, Rho = -1.230
(iter 7) [0.0, -0.9006, 0.6649] = 450.5503, sampling [0.0, -0.4641, 0.2225]. Recommendation = [0.0, -0.9006, 0.6649], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, -0.4444, 1.2300]. Recommendation = [0.0, -0.4641, 0.2225], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, 0.2555, 0.5843]. Recommendation = [0.0, -0.4641, 0.2225], Current Cost = 13000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, 0.1228, 1.0460]. Recommendation = [0.0, -0.4641, 0.2225], Current Cost = 14000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, 1.1611, 1.9054]. Recommendation = [0.0, -0.4641, 0.2225], Current Cost = 15000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, 1.7679, 1.9614]. Recommendation = [0.0, -0.4641, 0.2225], Current Cost = 16000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, 0.0250, 0.1471]. Recommendation = [0.0, -0.4641, 0.2225], Current Cost = 17000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, 1.3972, 1.3944]. Recommendation = [0.0, -0.1839, 0.3158], Current Cost = 18000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, -0.1558, 0.3922]. Recommendation = [0.0, -0.1839, 0.3158], Current Cost = 19000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, -0.8179, 0.2446]. Recommendation = [0.0, -0.4641, 0.2225], Current Cost = 20000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, -0.9777, 0.9653]. Recommendation = [0.0, -0.6133, 0.3329], Current Cost = 21000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, 0.8288, 1.6013]. Recommendation = [0.0, -0.6133, 0.3329], Current Cost = 22000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, -1.2587, 1.7585]. Recommendation = [0.0, -0.6133, 0.3329], Current Cost = 23000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, 0.8214, 0.8892]. Recommendation = [0.0, -0.6133, 0.3329], Current Cost = 24000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, -1.3457, 0.4424]. Recommendation = [0.0, -0.6133, 0.3329], Current Cost = 25000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, -0.2873, -0.0084]. Recommendation = [0.0, -0.6133, 0.3329], Current Cost = 26000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, 1.2465, 0.9938]. Recommendation = [0.0, -0.6133, 0.3329], Current Cost = 27000.00, Rho = -1.230
(iter 11) [0.0, -0.4641, 0.2225] = 454.1513, sampling [0.0, 1.1026, 1.3019]. Recommendation = [0.0, -0.6133, 0.3329], Current Cost = 28000.00, Rho = -1.230
(iter 28) [0.0, 1.1026, 1.3019] = 455.5466, sampling [0.0, 0.6974, 0.4848]. Recommendation = [0.0, 1.1026, 1.3019], Current Cost = 29000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, 0.4627, 0.9342]. Recommendation = [0.0, 0.6974, 0.4848], Current Cost = 30000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, 1.7930, 1.4215]. Recommendation = [0.0, 0.6974, 0.4848], Current Cost = 31000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, 0.3594, 0.2337]. Recommendation = [0.0, 0.6974, 0.4848], Current Cost = 32000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, -0.6019, 0.8818]. Recommendation = [0.0, 0.2724, 0.3697], Current Cost = 33000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, -0.6852, 0.4578]. Recommendation = [0.0, 0.2724, 0.3697], Current Cost = 34000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, 0.1070, -0.2415]. Recommendation = [0.0, 0.2724, 0.3697], Current Cost = 35000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, 0.5802, 1.9973]. Recommendation = [0.0, 0.0034, -0.0743], Current Cost = 36000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, -1.8293, 1.9493]. Recommendation = [0.0, 0.0034, -0.0743], Current Cost = 37000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, 1.0186, 0.6928]. Recommendation = [0.0, 0.0034, -0.0743], Current Cost = 38000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, -0.7601, 1.4767]. Recommendation = [0.0, 0.6823, 0.5539], Current Cost = 39000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, 0.5071, 0.5616]. Recommendation = [0.0, 0.6823, 0.5539], Current Cost = 40000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, -1.2088, 0.8675]. Recommendation = [0.0, 0.0034, -0.0743], Current Cost = 41000.00, Rho = -1.230
(iter 29) [0.0, 0.6974, 0.4848] = 456.2082, sampling [0.0, 1.3380, 1.7778]. Recommendation = [0.0, 0.0034, -0.0743], Current Cost = 42000.00, Rho = -1.230
