(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.2175, 0.3041]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.6797, 0.3449]. Recommendation = [0.0, -0.2175, 0.3041], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.2003, -0.0574]. Recommendation = [0.0, -0.2175, 0.3041], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, 0.2094, 0.1493]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.5528, -0.0121]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.4648, 0.6148]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.0042, 0.5350]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.9101, 0.6192]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.8919, 0.0199]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, 0.1288, -0.2470]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, 0.5442, -0.0350]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.4396, -0.2619]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.0223, 0.1354]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.3706, 0.0614]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.7928, 0.9170]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, 0.4311, 0.3582]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, 0.3397, 0.0081]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.5398, 0.4785]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.5833, -0.5322] = 377.6853, sampling [1.0, -0.2837, 0.7892]. Recommendation = [0.0, -0.3706, 0.0614], Current Cost = 5023.00, Rho = 1.000
