(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -0.1105, 0.7805]. Recommendation = [0.0, 0.2128, 0.3653], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, 0.3701, 0.3867]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -0.8450, 1.2443]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, 0.4704, 0.8891]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -0.3252, 0.2199]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -0.8573, 0.6339]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -1.3633, 1.1838]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, 0.1262, 0.2781]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -0.2524, 1.5639]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, 0.6916, 0.5730]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -0.4504, 0.4324]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, 0.1919, 0.5301]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -0.8503, 0.1851]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -1.1591, 1.5738]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -0.0169, 0.3996]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -1.2206, 0.6203]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -0.4227, 0.8625]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, 0.1646, 0.0900]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -0.1022, -0.0647]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, 0.4443, 0.1697]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, 0.5684, 0.4088]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, -0.4868, 0.0142]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.3396, -0.0383] = 453.5046, sampling [1.0, 0.3581, 0.5993]. Recommendation = [0.0, 0.2584, 0.1612], Current Cost = 5027.00, Rho = 1.000
