(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.6726, 0.7100]. Recommendation = [0.0, -1.1108, 0.7740], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.2639, 0.5486]. Recommendation = [0.0, -0.6726, 0.7100], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.6916, 0.5183]. Recommendation = [0.0, -0.6726, 0.7100], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.5150, 0.3424]. Recommendation = [0.0, -0.6916, 0.5183], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.8888, 0.4638]. Recommendation = [0.0, -0.5240, 0.4310], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.5240, 0.4310]. Recommendation = [0.0, -0.5150, 0.3424], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.8259, 0.8460]. Recommendation = [0.0, -0.5150, 0.3424], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.3999, 0.9869]. Recommendation = [0.0, -0.5150, 0.3424], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.9473, 0.6890]. Recommendation = [0.0, -0.5150, 0.3424], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.2923, 0.2821]. Recommendation = [0.0, -0.5150, 0.3424], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.7618, 0.3496]. Recommendation = [0.0, -0.5150, 0.3424], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.3905, 0.2374]. Recommendation = [0.0, -0.5150, 0.3424], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.0472, 0.2138]. Recommendation = [0.0, -0.3905, 0.2374], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.2501, 0.1195]. Recommendation = [0.0, -0.3905, 0.2374], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.0735, 0.3659]. Recommendation = [0.0, -0.2501, 0.1195], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.5535, -0.0567]. Recommendation = [0.0, -0.2501, 0.1195], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.3530, 0.0352]. Recommendation = [0.0, -0.2501, 0.1195], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.5380, 0.2794]. Recommendation = [0.0, -0.2501, 0.1195], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.1379, 0.2291]. Recommendation = [0.0, -0.2501, 0.1195], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.6099, 0.5599]. Recommendation = [0.0, -0.2501, 0.1195], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.1601, -0.0777]. Recommendation = [0.0, -0.2501, 0.1195], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.0321, 0.0178]. Recommendation = [0.0, -0.2501, 0.1195], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.3637, 0.4391]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.2713, -0.0460]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.0544, -0.0490]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.0108, 0.6277]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.9207, 0.2015]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.7424, 0.5647]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.5346, 0.3763]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.6416, 0.2195]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.2185, -0.1171]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.4846, -0.0125]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.3008, -0.1938]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.0352, -0.2398]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.9363, 1.0564]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.9043, 0.9391]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -1.1345, 0.9496]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.5615, 0.4818]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.4264, 0.5857]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.7402, 0.3949]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.4836, 0.2910]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.8607, 1.2552]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -1.0009, 1.1302]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.1085, -0.2750]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.5328, -0.2584]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.0988, -0.3355]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.4174, 0.4487]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -1.0693, 0.5760]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.2771, 0.7149]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.8793, 0.9709]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -1.4365, 1.0721]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.3653, 0.7654]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.5483, -0.0213]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.6953, 0.8070]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.7973, 0.7400]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.9103, 0.5362]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.3090, 1.1236]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.8013, 0.7780]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.9944, 0.6458]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, 0.9642, 0.3882]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -1.1108, 0.7740] = 430.6983, sampling [1.0, -0.9689, 0.6384]. Recommendation = [0.0, 0.0321, 0.0178], Current Cost = 5065.00, Rho = 1.000
