(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.0814, -0.0127]. Recommendation = [0.0, -0.7502, 0.7514], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.0796, 0.5052]. Recommendation = [0.0, -0.0814, -0.0127], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.5969, 0.0174]. Recommendation = [0.0, -0.0814, -0.0127], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.0784, -0.3254]. Recommendation = [0.0, -0.3572, 0.1622], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.4749, 0.3569]. Recommendation = [0.0, -0.3572, 0.1622], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -1.1514, 0.3781]. Recommendation = [0.0, -0.3572, 0.1622], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.3165, -0.3825]. Recommendation = [0.0, -0.3572, 0.1622], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.2460, -0.0706]. Recommendation = [0.0, -0.3572, 0.1622], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.7110, 1.3258]. Recommendation = [0.0, -0.3572, 0.1622], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.2813, 0.9091]. Recommendation = [0.0, -0.3572, 0.1622], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.2656, 0.3248]. Recommendation = [0.0, -0.3572, 0.1622], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -1.2122, 1.1735]. Recommendation = [0.0, 0.0548, 0.1340], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.3495, 0.0683]. Recommendation = [0.0, 0.0548, 0.1340], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -1.6135, 1.1035]. Recommendation = [0.0, 0.0548, 0.1340], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.0548, 0.1340]. Recommendation = [0.0, 0.0548, 0.1340], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.2065, 0.3128]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.5317, 0.1390]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.4517, 0.6195]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.0135, -0.6528]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -1.0672, 1.0237]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.2745, 0.6823]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -1.0412, 1.6957]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.9520, -0.3925]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.4588, -0.2371]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.8210, 0.5716]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.1058, -0.2206]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.6274, 0.2673]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.0601, 1.6178]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.7386, 1.0809]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -1.1015, 1.5010]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.9147, 0.7085]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.3925, 0.4580]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.8267, 0.1873]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.2302, -0.4962]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.6844, 0.5907]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.0219, -0.1279]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -0.8856, 1.2538]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.1513, 0.2239]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -1.3527, 1.8021]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -1.3313, 1.4405]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, -1.2251, 1.6379]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.7458, 0.6138]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.5586, 0.6319]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.6535, 0.2248]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.6293, 0.9884]. Recommendation = [0.0, 0.5794, 0.2137], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.1530, 0.0246]. Recommendation = [0.0, 0.1530, 0.0246], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.9636, 0.8374]. Recommendation = [0.0, 0.5794, 0.2137], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.8899, 0.5433]. Recommendation = [0.0, 0.7458, 0.6138], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.7502, 0.7514] = 449.6809, sampling [1.0, 0.7205, 0.8644]. Recommendation = [0.0, 0.7726, 0.5802], Current Cost = 5053.00, Rho = 1.000
