(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.6501, -0.4476]. Recommendation = [0.0, -0.4267, -0.6883], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.7056, -0.7631]. Recommendation = [0.0, -0.4267, -0.6883], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.3568, -0.3242]. Recommendation = [0.0, -0.4267, -0.6883], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.5359, 0.0404]. Recommendation = [0.0, -0.3568, -0.3242], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.2215, -0.0175]. Recommendation = [0.0, -0.5359, 0.0404], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.3803, 0.0294]. Recommendation = [0.0, -0.2215, -0.0175], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.3275, 0.3512]. Recommendation = [0.0, -0.2215, -0.0175], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.6138, 0.3370]. Recommendation = [0.0, -0.2215, -0.0175], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.4594, 0.2995]. Recommendation = [0.0, -0.4594, 0.2995], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.3087, 0.6364]. Recommendation = [0.0, -0.2215, -0.0175], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.0958, 0.2143]. Recommendation = [0.0, -0.2215, -0.0175], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.5952, 0.5913]. Recommendation = [0.0, -0.2215, -0.0175], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.6313, 0.1547]. Recommendation = [0.0, -0.4683, 0.4146], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.4683, 0.4146]. Recommendation = [0.0, -0.4683, 0.4146], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.6919, -0.1059]. Recommendation = [0.0, -0.2215, -0.0175], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.2410, 1.0458]. Recommendation = [0.0, -0.2215, -0.0175], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.0362, -0.2559]. Recommendation = [0.0, -0.2215, -0.0175], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.2718, -0.2239]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.1041, -0.4661]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.1404, 0.1296]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, 0.1171, 0.6575]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, 0.0173, -0.1329]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.1134, 0.7614]. Recommendation = [0.0, -0.1622, -0.0809], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.1622, -0.0809]. Recommendation = [0.0, -0.1622, -0.0809], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.0237, 0.1219]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.2971, 0.4471]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, 0.2820, 1.5629]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.4756, 0.8233]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, 0.1523, 0.4909]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, 0.2769, -0.0084]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, 0.1804, -0.3483]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, 0.3404, 0.2026]. Recommendation = [0.0, -0.1849, 0.0636], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.0015, 0.1970]. Recommendation = [0.0, -0.0015, 0.1970], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, 0.2658, -0.2389]. Recommendation = [0.0, 0.3404, 0.2026], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, 0.3209, 0.1017]. Recommendation = [0.0, 0.3404, 0.2026], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.7204, 0.2830]. Recommendation = [0.0, 0.3209, 0.1017], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, 0.0345, -0.7359]. Recommendation = [0.0, 0.3209, 0.1017], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, 0.3697, 0.3973]. Recommendation = [0.0, 0.3209, 0.1017], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.8472, 0.5778]. Recommendation = [0.0, 0.3209, 0.1017], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.4267, -0.6883] = 378.5191, sampling [1.0, -0.7964, 0.7999]. Recommendation = [0.0, 0.3209, 0.1017], Current Cost = 5044.00, Rho = 1.000
