(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.4159, -1.0701]. Recommendation = [0.0, 0.5418, 1.5581], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.6173, -1.0869]. Recommendation = [0.0, -0.4159, -1.0701], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.3813, -0.7587]. Recommendation = [0.0, -0.4159, -1.0701], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.1852, -0.8508]. Recommendation = [0.0, -0.3813, -0.7587], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.3417, -0.8838]. Recommendation = [0.0, -0.1852, -0.8508], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.2899, -0.4824]. Recommendation = [0.0, -0.1852, -0.8508], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.4362, -0.5025]. Recommendation = [0.0, -0.2899, -0.4824], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.0172, -0.5669]. Recommendation = [0.0, -0.2899, -0.4824], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.1601, -0.3483]. Recommendation = [0.0, -0.0172, -0.5669], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.0708, -0.3790]. Recommendation = [0.0, -0.1601, -0.3483], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.1134, -0.2529]. Recommendation = [0.0, -0.1601, -0.3483], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, 0.0207, -0.2852]. Recommendation = [0.0, -0.1134, -0.2529], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.1028, 0.0117]. Recommendation = [0.0, -0.1134, -0.2529], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.4220, 0.0063]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.2483, 0.1301]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.5213, -0.3143]. Recommendation = [0.0, -0.1751, 0.0628], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.1751, 0.0628]. Recommendation = [0.0, -0.1751, 0.0628], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, 0.0431, -0.1681]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, 0.0311, 0.2396]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.1342, 0.1879]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.2391, 0.3931]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.3048, 0.2803]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.4806, 0.1725]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.5727, -0.0729]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.0501, 0.5854]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.4917, 0.4497]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.3240, 0.6175]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.3648, 0.3679]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.5418, 1.5581] = 296.1588, sampling [1.0, -0.6629, 0.2900]. Recommendation = [0.0, -0.1028, 0.0117], Current Cost = 5033.00, Rho = 1.000
