(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, -0.0239, 0.5149]. Recommendation = [0.0, -0.0961, -0.0756], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, 0.1824, 1.0759]. Recommendation = [0.0, -0.0961, -0.0756], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, -0.4612, 0.5039]. Recommendation = [0.0, -0.0961, -0.0756], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, -0.3013, 0.2069]. Recommendation = [0.0, -0.0961, -0.0756], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, -0.2207, 0.9650]. Recommendation = [0.0, -0.0961, -0.0756], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, 0.2930, 1.6539]. Recommendation = [0.0, -0.0961, -0.0756], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, 0.5301, 0.6835]. Recommendation = [0.0, -0.0961, -0.0756], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, 0.0989, 0.1801]. Recommendation = [0.0, -0.0961, -0.0756], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, -0.9950, 0.5816]. Recommendation = [0.0, -0.1371, 0.0590], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, -0.7220, 0.1138]. Recommendation = [0.0, -0.1371, 0.0590], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, -0.6412, 0.8589]. Recommendation = [0.0, -0.1371, 0.0590], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, 0.1950, 0.7910]. Recommendation = [0.0, -0.1371, 0.0590], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, 0.5598, 0.9265]. Recommendation = [0.0, -0.1371, 0.0590], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, -0.0450, 0.2879]. Recommendation = [0.0, -0.1371, 0.0590], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, 0.2259, 0.3685]. Recommendation = [0.0, -0.1371, 0.0590], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, -0.1371, 0.0590]. Recommendation = [0.0, -0.1371, 0.0590], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, -1.1608, 1.1367]. Recommendation = [0.0, -0.0961, -0.0756], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0961, -0.0756] = 454.3783, sampling [1.0, -0.2592, 0.6497]. Recommendation = [0.0, -0.0961, -0.0756], Current Cost = 5022.00, Rho = 1.000
