(iter 10) [0.0, -0.2933, -0.1046] = 450.9935, sampling [1.0, 0.0767, 0.4389]. Recommendation = [0.0, -0.2933, -0.1046], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2933, -0.1046] = 450.9935, sampling [1.0, 0.4775, 0.5456]. Recommendation = [0.0, -0.2933, -0.1046], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2933, -0.1046] = 450.9935, sampling [1.0, -0.0785, 0.1655]. Recommendation = [0.0, -0.2933, -0.1046], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2933, -0.1046] = 450.9935, sampling [1.0, -0.2624, 0.4288]. Recommendation = [0.0, -0.2933, -0.1046], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2933, -0.1046] = 450.9935, sampling [1.0, -0.3818, 0.0750]. Recommendation = [0.0, -0.2933, -0.1046], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2933, -0.1046] = 450.9935, sampling [1.0, 0.1926, 0.8268]. Recommendation = [0.0, -0.2491, -0.0054], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2933, -0.1046] = 450.9935, sampling [1.0, -0.2491, -0.0054]. Recommendation = [0.0, -0.2491, -0.0054], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2933, -0.1046] = 450.9935, sampling [1.0, 0.2801, 0.2931]. Recommendation = [0.0, -0.2491, -0.0054], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2933, -0.1046] = 450.9935, sampling [1.0, -0.0871, 0.3406]. Recommendation = [0.0, -0.2491, -0.0054], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2933, -0.1046] = 450.9935, sampling [1.0, 0.5241, 0.4110]. Recommendation = [0.0, -0.2491, -0.0054], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2933, -0.1046] = 450.9935, sampling [1.0, 0.0668, 0.2538]. Recommendation = [0.0, -0.2491, -0.0054], Current Cost = 5015.00, Rho = 1.000
