(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.2481, 0.3377]. Recommendation = [0.0, 0.4288, -0.1709], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.7770, 0.7141]. Recommendation = [0.0, -0.2481, 0.3377], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.2060, 0.4254]. Recommendation = [0.0, -0.7770, 0.7141], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.3861, 0.7335]. Recommendation = [0.0, -0.7770, 0.7141], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.1550, 0.0740]. Recommendation = [0.0, -0.7770, 0.7141], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.7409, 1.1789]. Recommendation = [0.0, 0.1550, 0.0740], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -1.3250, 0.5771]. Recommendation = [0.0, 0.1550, 0.0740], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.6571, 0.0560]. Recommendation = [0.0, 0.1550, 0.0740], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.2198, 0.0086]. Recommendation = [0.0, 0.1550, 0.0740], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.5111, 0.4454]. Recommendation = [0.0, -0.1228, 0.2010], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.8836, 0.3877]. Recommendation = [0.0, -0.1228, 0.2010], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.5946, 1.7393]. Recommendation = [0.0, -0.1228, 0.2010], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.6011, 0.3735]. Recommendation = [0.0, -0.1228, 0.2010], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.5428, 0.1066]. Recommendation = [0.0, 0.3360, 0.2671], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.7892, 0.8938]. Recommendation = [0.0, 0.3360, 0.2671], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.3794, 0.6618]. Recommendation = [0.0, 0.3360, 0.2671], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.5953, 1.4453]. Recommendation = [0.0, 0.3360, 0.2671], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 1.0089, 0.5420]. Recommendation = [0.0, 0.3360, 0.2671], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.6429, 0.7020]. Recommendation = [0.0, 0.3360, 0.2671], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -1.0139, 0.9070]. Recommendation = [0.0, 0.3360, 0.2671], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.0042, 0.4953]. Recommendation = [0.0, 0.3360, 0.2671], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.0124, -0.2273]. Recommendation = [0.0, 0.3360, 0.2671], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 1.2147, 1.0745]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.9019, 1.0967]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.3360, 0.2671]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 1.4261, 1.7262]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 1.0818, 1.4268]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 1.0437, 1.9675]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 1.6249, 1.3418]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.3567, 1.9822]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.3340, -0.2887]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.1228, 0.2010]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.4542, 0.9966]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.8380, 0.2447]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 1.2037, 0.8430]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.9938, 1.2185]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.5681, 0.9319]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.8257, 0.6945]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.3492, -0.1228]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.9772, 1.6939]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 1.2326, 1.3456]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.2339, -0.0326]. Recommendation = [0.0, 0.2339, -0.0326], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.8487, 0.4587]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.9679, 1.2496]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -1.1502, 1.6275]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -1.0367, 1.4496]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -1.3735, 1.9841]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -1.8832, 1.9538]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -1.2314, 1.8039]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.6881, 0.6076]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -1.4281, 1.7121]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -1.1281, 0.0975]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.2139, 0.5256]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 1.6053, 1.9145]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 1.2224, 1.8561]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -1.3926, 0.9812]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.8765, 0.6437]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.3920, 0.3991]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -0.6875, -0.1325]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.1804, 0.7743]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, -1.3530, 1.3277]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 1.3176, 0.4978]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 0.4288, -0.1709] = 443.3907, sampling [1.0, 0.6765, 1.0835]. Recommendation = [0.0, 0.6270, 0.3806], Current Cost = 5067.00, Rho = 1.000
