(iter 5) [0.0, 0.0123, -0.7486] = 399.2580, sampling [0.0, -0.0200, -0.4190]. Recommendation = [0.0, 0.0123, -0.7486], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.0200, -0.4190] = 437.6711, sampling [0.0, 0.0934, -0.2613]. Recommendation = [0.0, -0.0200, -0.4190], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.0934, -0.2613] = 448.1855, sampling [0.0, 0.1540, -0.4349]. Recommendation = [0.0, 0.0934, -0.2613], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, 0.0934, -0.2613] = 448.1855, sampling [0.0, 0.1281, 0.0316]. Recommendation = [0.0, 0.0934, -0.2613], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.0263, 0.1072]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.1243, 0.1727]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 10000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.0205, 0.3877]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 11000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.2189, 0.3230]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 12000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.2092, -0.0381]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 13000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.1410, 0.5809]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 14000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.2133, 0.3588]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 15000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.3971, -0.0083]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 16000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.2485, -0.3578]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 17000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.3906, 0.2368]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 18000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.4029, 0.0818]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 19000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.4411, -0.1777]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 20000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.2667, 0.5957]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 21000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.0730, 0.4956]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 22000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.5600, 0.1594]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 23000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.5581, 0.0026]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 24000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.4600, 0.2491]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 25000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.5156, 0.5115]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 26000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.6205, 0.3621]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 27000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.3397, 0.5254]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 28000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.7965, 0.2255]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 29000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.6538, 0.5306]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 30000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.6142, 0.4285]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 31000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.1321, 0.8096]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 32000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.7759, 0.3316]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 33000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.7336, 0.0338]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 34000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.6757, 0.7080]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 35000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.2694, -0.2548]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 36000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.3168, -0.0174]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 37000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.0977, -0.2202]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 38000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.2623, 0.4755]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 39000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.3877, 0.7821]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 40000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.4529, 0.4832]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 41000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.4278, 0.0430]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 42000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.5013, 0.1015]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 43000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.5260, 0.9273]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 44000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.8112, 0.7513]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 45000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.9755, 0.6847]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 46000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -1.0270, 0.4447]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 47000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.9231, 0.7899]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 48000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.5846, -0.1693]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 49000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.7893, 1.0252]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 50000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.4901, -0.1070]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 51000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.6328, 0.6041]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 52000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.5632, 0.6766]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 53000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.5460, 0.1229]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 54000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.4095, -0.2821]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 55000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.2458, -0.3508]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 56000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.2529, 0.3458]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 57000.00, Rho = -1.230
