(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.2060, 0.4749]. Recommendation = [0.0, 0.4039, -0.0567], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.6410, 0.7552]. Recommendation = [0.0, 0.4039, -0.0567], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.0144, 0.1525]. Recommendation = [0.0, 0.4039, -0.0567], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.8259, 1.3044]. Recommendation = [0.0, -0.0144, 0.1525], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.5902, 0.3491]. Recommendation = [0.0, -0.0144, 0.1525], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.3753, 0.1168]. Recommendation = [0.0, -0.5902, 0.3491], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, 0.1292, -0.0217]. Recommendation = [0.0, -0.3010, 0.2751], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.3010, 0.2751]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.8207, 0.4531]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.5212, 0.4913]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -1.2183, 1.2771]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.1876, -0.0554]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.9405, 0.7882]. Recommendation = [0.0, -0.1495, 0.1723], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.1495, 0.1723]. Recommendation = [0.0, -0.1495, 0.1723], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, 0.2568, 0.2119]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.8120, 0.6590]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.9571, 1.0844]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.4289, 0.3548]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -1.0716, 0.5878]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -1.2550, 1.1144]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.2930, 0.0357]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.3567, 0.7456]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -1.1575, 1.4378]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.4039, -0.0567] = 451.1143, sampling [1.0, -0.4459, 0.0083]. Recommendation = [0.0, 0.1292, -0.0217], Current Cost = 5028.00, Rho = 1.000
