(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.1880, -0.1063]. Recommendation = [0.0, -0.2308, -0.2079], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.0319, -0.2821]. Recommendation = [0.0, 0.1880, -0.1063], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, -0.1641, 0.1089]. Recommendation = [0.0, 0.1880, -0.1063], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.1401, 0.1342]. Recommendation = [0.0, -0.1641, 0.1089], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, -0.0001, 0.4147]. Recommendation = [0.0, -0.1641, 0.1089], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.3751, 0.3674]. Recommendation = [0.0, -0.1641, 0.1089], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.4070, 0.0226]. Recommendation = [0.0, -0.1641, 0.1089], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.2025, 0.7213]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.1947, 0.3190]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.5399, -0.2981]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.8197, 0.3307]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.5693, 0.0444]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.6043, 0.6421]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.5153, 0.5092]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.8800, -0.0110]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.3355, -0.3884]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.4710, -0.1657]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, -0.1785, 0.7098]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.2672, 1.1132]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.8429, 0.6310]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, 0.5470, 0.8132]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, -0.2459, 1.1963]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.2308, -0.2079] = 447.9677, sampling [1.0, -0.3352, 0.4378]. Recommendation = [0.0, 0.2961, 0.0516], Current Cost = 5027.00, Rho = 1.000
