(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.3624, 0.5236]. Recommendation = [0.0, 0.2340, 0.4435], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 1.0470, 0.5060]. Recommendation = [0.0, 0.0202, 0.5660], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.4997, 1.2225]. Recommendation = [0.0, 0.0202, 0.5660], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.4950, 0.1004]. Recommendation = [0.0, -0.3348, 0.3015], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, -0.0023, 0.3215]. Recommendation = [0.0, 0.4950, 0.1004], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.9500, 0.0249]. Recommendation = [0.0, 0.4950, 0.1004], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.0202, 0.5660]. Recommendation = [0.0, 0.4950, 0.1004], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 1.1553, 0.9666]. Recommendation = [0.0, 0.4950, 0.1004], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.2308, 0.2106]. Recommendation = [0.0, 0.4950, 0.1004], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.6206, 0.2896]. Recommendation = [0.0, 0.4950, 0.1004], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.9187, 0.8245]. Recommendation = [0.0, 0.5373, 0.2405], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.6030, 0.8373]. Recommendation = [0.0, 0.5373, 0.2405], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 1.5369, 0.7577]. Recommendation = [0.0, 0.5373, 0.2405], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.8874, 1.0882]. Recommendation = [0.0, 0.5373, 0.2405], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.3420, -0.0968]. Recommendation = [0.0, 0.5373, 0.2405], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 1.0118, 1.4006]. Recommendation = [0.0, 0.5373, 0.2405], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, -0.0207, 0.0939]. Recommendation = [0.0, 0.5373, 0.2405], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.7984, 0.3610]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.5192, 0.3898]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.5649, -0.1659]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, -0.3062, 0.5528]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.1493, 0.8471]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.1271, 0.1142]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 1.1897, 1.2604]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 1.0032, 1.0770]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 1.1055, 1.8204]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.4783, 1.9153]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 1.1815, 1.4665]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.1396, 0.3475]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.6151, 0.1510]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.9614, 0.7208]. Recommendation = [0.0, 0.5373, 0.2405], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 1.4518, 1.7479]. Recommendation = [0.0, 0.5373, 0.2405], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.5373, 0.2405]. Recommendation = [0.0, 0.5373, 0.2405], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, -0.0125, 0.1897]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, -0.2158, 0.0590]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, -0.0286, -0.0305]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.3325, -0.2612]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, -0.1200, 0.0541]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 1.6061, 1.5921]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.2340, 0.4435]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.4838, -0.0869]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 0.4318, 0.4277]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 1.2024, 1.1197]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.3348, 0.3015] = 450.9308, sampling [1.0, 1.0775, 1.0564]. Recommendation = [0.0, 0.9187, 0.8245], Current Cost = 5048.00, Rho = 1.000
