(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.1237, 0.1540]. Recommendation = [0.0, 0.0530, 0.0624], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.1871, 0.3005]. Recommendation = [0.0, 0.1237, 0.1540], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.3832, 0.3142]. Recommendation = [0.0, 0.1237, 0.1540], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.2403, 0.5155]. Recommendation = [0.0, 0.1237, 0.1540], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.2608, 0.0363]. Recommendation = [0.0, 0.1237, 0.1540], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.0548, -0.0167]. Recommendation = [0.0, 0.2608, 0.0363], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.1146, -0.0272]. Recommendation = [0.0, 0.2608, 0.0363], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.2339, 0.0796]. Recommendation = [0.0, 0.0530, 0.0624], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.3562, 0.2263]. Recommendation = [0.0, 0.0530, 0.0624], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.0530, 0.0624]. Recommendation = [0.0, 0.0530, 0.0624], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.1259, 0.0551]. Recommendation = [0.0, -0.1259, 0.0551], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.6053, 0.3263]. Recommendation = [0.0, 0.2608, 0.0363], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.6235, 0.0986]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.2758, -0.0678]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.1481, 0.1824]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.2127, -0.1042]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.0260, -0.1371]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.6998, 0.5779]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.7892, 0.4208]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.4875, 0.5933]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.4232, 0.0912]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.3589, 0.0130]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.4833, 0.5651]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.1669, 0.5734]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.5104, 0.2518]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.3239, 0.3630]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.4343, -0.1185]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.1560, -0.1870]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.0087, -0.0326]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.7103, 0.3445]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.6616, 0.1935]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.6669, 0.1753]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.7538, 0.6139]. Recommendation = [0.0, 0.6053, 0.3263], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.8871, 0.6322]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.8410, 0.4505]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.5801, 0.7879]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.1414, -0.2275]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.5937, 0.8149]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.6827, 0.6008]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.9544, 0.5467]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.9073, 0.2638]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.0094, 1.0060]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.7466, 0.3779]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.5484, 0.6199]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -1.0969, 0.6255]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.8464, 0.1354]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.2050, 0.4253]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.4282, -0.2011]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.0015, -0.4018]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.9795, 0.6822]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.7498, 0.8646]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, 0.6922, 0.0673]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.9662, 1.0465]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -0.8205, 1.0853]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -1.0576, 0.8600]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.3938, -0.3567] = 429.7418, sampling [1.0, -1.0886, 1.1416]. Recommendation = [0.0, 0.7538, 0.6139], Current Cost = 5060.00, Rho = 1.000
