(iter 5) [0.0, -0.5915, 0.0849] = 446.7439, sampling [0.0, 0.5427, 0.8926]. Recommendation = [0.0, -0.5915, 0.0849], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.5915, 0.0849] = 446.7439, sampling [0.0, 0.0994, 0.8477]. Recommendation = [0.0, -0.5915, 0.0849], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.5915, 0.0849] = 446.7439, sampling [0.0, 0.7777, 1.3288]. Recommendation = [0.0, -0.5915, 0.0849], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.5915, 0.0849] = 446.7439, sampling [0.0, 0.9903, 0.9856]. Recommendation = [0.0, -0.5915, 0.0849], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.3861, 0.4447]. Recommendation = [0.0, 0.9903, 0.9856], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.8772, 0.4835]. Recommendation = [0.0, 0.9903, 0.9856], Current Cost = 10000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.1595, 0.7378]. Recommendation = [0.0, 0.9903, 0.9856], Current Cost = 11000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.7922, 0.8078]. Recommendation = [0.0, 0.9903, 0.9856], Current Cost = 12000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.0112, 0.0714]. Recommendation = [0.0, 0.9903, 0.9856], Current Cost = 13000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.3299, 0.1579]. Recommendation = [0.0, 0.9903, 0.9856], Current Cost = 14000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.1264, 0.4309]. Recommendation = [0.0, 0.9903, 0.9856], Current Cost = 15000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.6068, 0.1744]. Recommendation = [0.0, 0.9903, 0.9856], Current Cost = 16000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.5954, 0.5715]. Recommendation = [0.0, 0.9903, 0.9856], Current Cost = 17000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.3228, -0.0237]. Recommendation = [0.0, 0.9903, 0.9856], Current Cost = 18000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.4698, 0.3399]. Recommendation = [0.0, 0.9903, 0.9856], Current Cost = 19000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.0475, 0.2782]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 20000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.0600, 0.2462]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 21000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.1161, 1.1514]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 22000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.4587, 0.0916]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 23000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.4454, 0.6258]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 24000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.5938, 0.8716]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 25000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.1395, 1.4548]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 26000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.8206, 0.6760]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 27000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.8087, 1.1347]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 28000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.0795, 1.3590]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 29000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.0452, -0.1448]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 30000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.6248, -0.0821]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 31000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.8027, 0.2069]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 32000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.1864, -0.1693]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 33000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.3925, 0.0009]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 34000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.0484, 1.6710]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 35000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.1963, -0.3290]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 36000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.4810, -0.2380]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 37000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.3333, 1.7101]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 38000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.4327, 1.5041]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 39000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.4801, 1.9382]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 40000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.0698, 1.9667]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 41000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.8127, 1.8525]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 42000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.2594, 1.8207]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 43000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.8351, 0.9417]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 44000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.4332, 0.1841]. Recommendation = [0.0, -0.4332, 0.1841], Current Cost = 45000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.4759, 0.6100]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 46000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.0194, 0.7131]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 47000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.1301, -0.1206]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 48000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.6671, 0.3505]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 49000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.6896, 0.7893]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 50000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.4492, 1.0305]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 51000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.5585, 0.5019]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 52000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.9620, 0.7063]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 53000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.9594, 1.1372]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 54000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.7508, 0.9552]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 55000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -1.0187, 0.8738]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 56000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.7705, 1.4111]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 57000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -1.2811, 1.2388]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 58000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -1.2010, 1.0729]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 59000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.9124, 0.4530]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 60000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -1.2273, 1.6258]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 61000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -1.6338, 1.4944]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 62000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -0.8943, 1.9801]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 63000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -1.0432, 1.2615]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 64000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -1.2614, 0.7745]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 65000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, -1.3128, 1.4039]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 66000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.2534, 0.3950]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 67000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.2623, 0.7205]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 68000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.9650, 1.3101]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 69000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 0.7590, 1.6600]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 70000.00, Rho = -1.230
(iter 8) [0.0, 0.9903, 0.9856] = 456.2975, sampling [0.0, 1.4211, 1.8386]. Recommendation = [0.0, 0.0627, -0.0311], Current Cost = 71000.00, Rho = -1.230
