(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.8326, 1.2159]. Recommendation = [0.0, 1.1120, 1.4471], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 1.0429, 1.2900]. Recommendation = [0.0, 1.1120, 1.4471], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.5537, 0.7717]. Recommendation = [0.0, 1.0429, 1.2900], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.8845, 0.9263]. Recommendation = [0.0, 1.0429, 1.2900], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.8105, 0.6668]. Recommendation = [0.0, 0.8845, 0.9263], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.8712, 0.7538]. Recommendation = [0.0, 0.8105, 0.6668], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.6513, 0.4446]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.4348, 0.3231]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.3176, 0.5844]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.8418, 0.3963]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.6011, 0.2724]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.6626, 0.5418]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.0666, 0.2870]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.3098, -0.0020]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.4481, 0.1530]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.1203, 0.0817]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.6208, 0.0591]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.7586, 0.7368]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.7481, 0.2571]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.2286, 0.2978]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.0414, 0.5196]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.0604, -0.0709]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.1890, -0.1678]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.8491, 0.6026]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 1.0260, 0.9444]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.9406, 1.1273]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.7366, 0.4574]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.5378, 0.2335]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.5012, 1.0717]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 1.0541, 0.7860]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.5062, -0.2662]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.9081, 0.9952]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 1.0731, 0.3745]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.1532, 0.3126]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.4975, 0.1408]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.4919, 0.3108]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.3755, 0.4812]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.2476, 0.4229]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.4710, -0.1090]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.2647, -0.2498]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.0959, -0.1246]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.1091, -0.3783]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.1619, -0.2341]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.4951, 0.1973]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 1.2622, 1.1938]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.2715, -0.3527]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.7655, 0.0754]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.7816, 1.0567]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.6299, 0.1310]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.5251, 0.0980]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.5663, 0.2888]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.6084, 0.1173]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.0493, 0.3670]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.2809, 0.7076]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.5986, -0.0214]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 1.0701, 0.8502]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.9002, 1.6590]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.2073, 0.8788]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.7194, 0.4677]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 1.3901, 1.3292]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.1018, 0.4270]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 1.0971, 0.6934]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.3805, -0.2577]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.7225, -0.2816]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.2121, -0.1809]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.4562, 0.7312]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.7458, 0.3438]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.6411, 0.7511]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.3107, 0.9695]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, 0.7759, 0.1640]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.8364, 0.7178]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, 1.1120, 1.4471] = 451.8555, sampling [1.0, -0.7523, 0.7792]. Recommendation = [0.0, 0.8712, 0.7538], Current Cost = 5076.00, Rho = 1.000
