(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, 0.1439, 0.7317]. Recommendation = [0.0, -1.2063, 1.7342], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, 0.3814, 0.4551]. Recommendation = [0.0, -1.2063, 1.7342], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, 0.1658, 0.2845]. Recommendation = [0.0, 0.3814, 0.4551], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, 0.5230, 0.1822]. Recommendation = [0.0, 0.1658, 0.2845], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, 0.6069, 0.4313]. Recommendation = [0.0, 0.5230, 0.1822], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, 0.2604, 0.1149]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.1374, 0.3920]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.5053, 0.9659]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.8951, 1.3807]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.0855, 0.0510]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.5648, 0.5269]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.2275, 0.6001]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.9717, 0.9323]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.7298, 0.7755]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.4965, 0.1738]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.4120, 0.3836]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.9385, 0.4599]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -1.0463, 1.1362]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -1.3415, 1.4366]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -1.3238, 0.8699]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.3357, -0.0333]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.6849, 0.1908]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.1230, -0.2679]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, 0.2359, -0.3651]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.6119, -0.2018]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -1.0066, 0.7050]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.8107, 0.5895]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, -0.3725, -0.4181]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, 0.1853, 0.4942]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -1.2063, 1.7342] = 443.6523, sampling [1.0, 0.5486, -0.3046]. Recommendation = [0.0, 0.5602, 0.4354], Current Cost = 5034.00, Rho = 1.000
