(iter 10) [0.0, 0.5092, 0.3919] = 454.2997, sampling [1.0, 0.0274, 1.0544]. Recommendation = [0.0, 0.5092, 0.3919], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.5092, 0.3919] = 454.2997, sampling [1.0, -0.5083, 1.0081]. Recommendation = [0.0, 0.5092, 0.3919], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.5092, 0.3919] = 454.2997, sampling [1.0, 0.2440, 0.6488]. Recommendation = [0.0, 0.5092, 0.3919], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.5092, 0.3919] = 454.2997, sampling [1.0, -0.6157, 1.5273]. Recommendation = [0.0, 0.5092, 0.3919], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.5092, 0.3919] = 454.2997, sampling [1.0, 0.6870, 0.8484]. Recommendation = [0.0, 0.5092, 0.3919], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.5092, 0.3919] = 454.2997, sampling [1.0, 0.4245, 1.4241]. Recommendation = [0.0, 0.5092, 0.3919], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.5092, 0.3919] = 454.2997, sampling [1.0, 0.3532, 0.9277]. Recommendation = [0.0, 0.5092, 0.3919], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.5092, 0.3919] = 454.2997, sampling [1.0, -0.2622, 1.3627]. Recommendation = [0.0, 0.5092, 0.3919], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.5092, 0.3919] = 454.2997, sampling [1.0, -0.7776, 0.8868]. Recommendation = [0.0, 0.5092, 0.3919], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.5092, 0.3919] = 454.2997, sampling [1.0, -0.4728, 0.6395]. Recommendation = [0.0, 0.5092, 0.3919], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.5092, 0.3919] = 454.2997, sampling [1.0, 0.6723, 0.5485]. Recommendation = [0.0, 0.5092, 0.3919], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.5092, 0.3919] = 454.2997, sampling [1.0, 0.9310, 1.1229]. Recommendation = [0.0, 0.6723, 0.5485], Current Cost = 5016.00, Rho = 1.000
