(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.0515, -0.0604]. Recommendation = [0.0, 1.1483, 0.3880], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.0064, 0.2656]. Recommendation = [0.0, -0.0515, -0.0604], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.2331, 0.0573]. Recommendation = [0.0, -0.0515, -0.0604], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.1812, 0.1724]. Recommendation = [0.0, -0.2331, 0.0573], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.3702, 0.2337]. Recommendation = [0.0, -0.2331, 0.0573], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.2211, 0.6006]. Recommendation = [0.0, 0.3702, 0.2337], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.0372, -0.2640]. Recommendation = [0.0, 0.3702, 0.2337], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.2634, -0.1959]. Recommendation = [0.0, 0.3702, 0.2337], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.4855, 0.1322]. Recommendation = [0.0, 0.3702, 0.2337], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.2989, -0.2297]. Recommendation = [0.0, 0.3702, 0.2337], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.0082, -0.1571]. Recommendation = [0.0, 0.3702, 0.2337], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.4434, 0.4031]. Recommendation = [0.0, 0.3702, 0.2337], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.5366, 0.2725]. Recommendation = [0.0, 0.3702, 0.2337], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.5607, -0.0094]. Recommendation = [0.0, 0.4505, 0.3020], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.2962, 0.3114]. Recommendation = [0.0, 0.5366, 0.2725], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.4505, 0.3020]. Recommendation = [0.0, 0.5366, 0.2725], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.0815, -0.2374]. Recommendation = [0.0, 0.5366, 0.2725], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.5509, 0.0537]. Recommendation = [0.0, 0.5366, 0.2725], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.5102, 0.2501]. Recommendation = [0.0, 0.5366, 0.2725], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.3928, 0.4795]. Recommendation = [0.0, 0.5366, 0.2725], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.3168, -0.1313]. Recommendation = [0.0, 0.5366, 0.2725], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.6876, 0.4500]. Recommendation = [0.0, 0.5366, 0.2725], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.7771, 0.1935]. Recommendation = [0.0, 0.6876, 0.4500], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.5380, 0.3319]. Recommendation = [0.0, 0.6876, 0.4500], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.6796, 0.2434]. Recommendation = [0.0, 0.6876, 0.4500], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.6447, 0.3725]. Recommendation = [0.0, 0.6876, 0.4500], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.5748, 0.5123]. Recommendation = [0.0, 0.6876, 0.4500], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.1967, 0.2229]. Recommendation = [0.0, 0.6876, 0.4500], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.2844, -0.3845]. Recommendation = [0.0, 0.6876, 0.4500], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.2709, 0.7876]. Recommendation = [0.0, 0.6876, 0.4500], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.7272, 0.7125]. Recommendation = [0.0, 0.6876, 0.4500], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.4385, 0.8460]. Recommendation = [0.0, 0.6876, 0.4500], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.8305, 0.6484]. Recommendation = [0.0, 0.6876, 0.4500], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.8418, 0.4420]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.4099, -0.2050]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.0912, -0.4098]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.0588, -0.3499]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.6578, 0.1568]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.6142, -0.0839]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.8050, 0.4917]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.6808, 0.7317]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.8222, 0.5608]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.9225, 0.6776]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.9449, 0.3449]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.9647, 0.6187]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.3355, 0.5378]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.8355, 0.3943]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.7561, 0.1182]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.9507, 0.5114]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.3632, -0.2431]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.7769, 0.7689]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.8999, 0.4869]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.5853, 0.0813]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.6338, -0.2660]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, -0.0382, -0.2881]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 1.1483, 0.3880] = 369.6955, sampling [1.0, 0.1224, 0.5778]. Recommendation = [0.0, 0.8305, 0.6484], Current Cost = 5060.00, Rho = 1.000
