(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.6671, -0.0478]. Recommendation = [0.0, -0.7147, 0.4551], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.8751, 0.2052]. Recommendation = [0.0, -0.7147, 0.4551], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.4801, 0.2437]. Recommendation = [0.0, -0.7147, 0.4551], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.3295, -0.0501]. Recommendation = [0.0, -0.4801, 0.2437], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.4305, -0.3178]. Recommendation = [0.0, -0.4801, 0.2437], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.5461, 0.3405]. Recommendation = [0.0, -0.4801, 0.2437], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.1714, -0.2690]. Recommendation = [0.0, -0.4801, 0.2437], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.2803, 0.2767]. Recommendation = [0.0, -0.4801, 0.2437], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.1952, -0.1116]. Recommendation = [0.0, -0.4801, 0.2437], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.3646, 0.2651]. Recommendation = [0.0, -0.4801, 0.2437], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.1833, -0.6611]. Recommendation = [0.0, -0.4801, 0.2437], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, 0.0503, -0.2449]. Recommendation = [0.0, -0.4801, 0.2437], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, 0.0613, -0.4958]. Recommendation = [0.0, -0.4801, 0.2437], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.5819, 0.5070]. Recommendation = [0.0, -0.4801, 0.2437], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.2144, -0.4301]. Recommendation = [0.0, -0.5579, 0.4137], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.5579, 0.4137]. Recommendation = [0.0, -0.5579, 0.4137], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, 0.1128, 0.0158]. Recommendation = [0.0, -0.4801, 0.2437], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.0159, 0.3203]. Recommendation = [0.0, 0.1128, 0.0158], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.4087, 0.5780]. Recommendation = [0.0, 0.1128, 0.0158], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, 0.1061, 0.1996]. Recommendation = [0.0, 0.1128, 0.0158], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, 0.2021, -0.2793]. Recommendation = [0.0, 0.1128, 0.0158], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, 0.2318, -0.0603]. Recommendation = [0.0, 0.1128, 0.0158], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.7147, 0.4551] = 453.0498, sampling [1.0, -0.5627, -0.0829]. Recommendation = [0.0, 0.1128, 0.0158], Current Cost = 5027.00, Rho = 1.000
