(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 0.3146, 0.7184]. Recommendation = [0.0, 0.3503, 0.1526], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 0.1732, 0.1508]. Recommendation = [0.0, 0.3726, 0.0725], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 1.0505, 0.7358]. Recommendation = [0.0, 0.3503, 0.1526], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 0.6585, 1.3392]. Recommendation = [0.0, 0.3503, 0.1526], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 0.7206, 0.3486]. Recommendation = [0.0, 0.3503, 0.1526], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, -0.0565, 0.5159]. Recommendation = [0.0, 0.3503, 0.1526], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 0.3248, -0.0586]. Recommendation = [0.0, 0.3503, 0.1526], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 1.5596, 0.4532]. Recommendation = [0.0, 0.3503, 0.1526], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 0.7065, 0.8306]. Recommendation = [0.0, 0.3503, 0.1526], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 0.3392, 0.4140]. Recommendation = [0.0, 0.3503, 0.1526], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, -0.1275, 1.2729]. Recommendation = [0.0, 0.3503, 0.1526], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 0.6698, 0.5676]. Recommendation = [0.0, 0.3503, 0.1526], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 0.0147, -0.0918]. Recommendation = [0.0, 0.3503, 0.1526], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 0.3503, 0.1526]. Recommendation = [0.0, 0.1407, -0.0445], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, -0.0901, 0.1935]. Recommendation = [0.0, 0.1407, -0.0445], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1140, -0.3820] = 439.9130, sampling [1.0, 0.6334, 0.2678]. Recommendation = [0.0, 0.1407, -0.0445], Current Cost = 5020.00, Rho = 1.000
