(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.2270, 1.3739]. Recommendation = [0.0, -0.8793, 1.0356], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, -0.4439, 1.0112]. Recommendation = [0.0, -0.8793, 1.0356], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, -0.7334, 1.4621]. Recommendation = [0.0, -0.8793, 1.0356], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.2192, 0.5934]. Recommendation = [0.0, -0.8793, 1.0356], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.8663, 1.2367]. Recommendation = [0.0, -0.8793, 1.0356], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.5419, 0.8488]. Recommendation = [0.0, -0.8793, 1.0356], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.2725, 0.0102]. Recommendation = [0.0, -0.8793, 1.0356], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, -0.1293, 0.3691]. Recommendation = [0.0, 0.2725, 0.0102], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.1171, 0.2798]. Recommendation = [0.0, 0.2725, 0.0102], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.6328, 0.3576]. Recommendation = [0.0, 0.2725, 0.0102], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.4591, -0.2839]. Recommendation = [0.0, 0.6328, 0.3576], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.3968, 0.4528]. Recommendation = [0.0, 0.6328, 0.3576], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, -0.2799, 0.7449]. Recommendation = [0.0, 0.6328, 0.3576], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.0626, -0.1383]. Recommendation = [0.0, 0.6328, 0.3576], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, -0.0068, 0.0354]. Recommendation = [0.0, 0.6328, 0.3576], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.2814, -0.5159]. Recommendation = [0.0, 0.6328, 0.3576], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.8165, 1.5051]. Recommendation = [0.0, 0.6328, 0.3576], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.8091, 0.7944]. Recommendation = [0.0, 0.6328, 0.3576], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.7716, 0.0440]. Recommendation = [0.0, 0.6328, 0.3576], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.7993, 0.5496]. Recommendation = [0.0, 0.6328, 0.3576], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.8944, 0.9643]. Recommendation = [0.0, 0.6557, 0.5048], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.8793, 1.0356] = 445.8769, sampling [1.0, 0.0658, 0.8058]. Recommendation = [0.0, 0.6557, 0.5048], Current Cost = 5026.00, Rho = 1.000
