(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, 0.3121, -0.5760]. Recommendation = [0.0, 0.4864, -0.5614], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, 0.2001, -0.6985]. Recommendation = [0.0, 0.3121, -0.5760], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, 0.1444, -0.4953]. Recommendation = [0.0, 0.3121, -0.5760], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, 0.2972, -0.3447]. Recommendation = [0.0, 0.1444, -0.4953], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, 0.0192, -0.3217]. Recommendation = [0.0, 0.2972, -0.3447], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, 0.1969, -0.2292]. Recommendation = [0.0, 0.0192, -0.3217], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, 0.0611, -0.2006]. Recommendation = [0.0, 0.1969, -0.2292], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, -0.0993, -0.2397]. Recommendation = [0.0, 0.0611, -0.2006], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, -0.0507, -0.4461]. Recommendation = [0.0, 0.0611, -0.2006], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, 0.0783, 0.0782]. Recommendation = [0.0, 0.0611, -0.2006], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, -0.1895, 0.0344]. Recommendation = [0.0, 0.0783, 0.0782], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, -0.1313, -0.1597]. Recommendation = [0.0, 0.0783, 0.0782], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, -0.1157, 0.1468]. Recommendation = [0.0, 0.0783, 0.0782], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, 0.2429, -0.0127]. Recommendation = [0.0, 0.0783, 0.0782], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, -0.1251, 0.3942]. Recommendation = [0.0, 0.2429, -0.0127], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.4864, -0.5614] = 392.3674, sampling [1.0, 0.2905, 0.1416]. Recommendation = [0.0, 0.2429, -0.0127], Current Cost = 5020.00, Rho = 1.000
