(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, 0.4003, -0.1932]. Recommendation = [0.0, -1.0094, 1.7169], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, 0.4449, 0.0437]. Recommendation = [0.0, 0.4003, -0.1932], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, 0.5473, -0.0545]. Recommendation = [0.0, 0.4449, 0.0437], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, 0.1595, 0.0343]. Recommendation = [0.0, 0.4449, 0.0437], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, 0.3114, -0.0585]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, 0.2488, 0.3220]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.0943, 0.3780]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.0668, -0.0660]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.2179, 0.1230]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, 0.0520, -0.0280]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, 0.2196, -0.2232]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, 0.0960, 0.6324]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.4561, 0.9205]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.1952, 0.5620]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.3865, 0.3614]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.2746, 0.2471]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.1459, 1.0087]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.1270, -0.2896]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, 0.0093, 0.4459]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.7527, 1.3208]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.2493, 0.4128]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.6007, 0.0898]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.6343, 0.3569]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.6593, 0.6539]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.5685, -0.1520]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.3604, 0.2353]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, 0.1643, -0.4838]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.1898, -0.5352]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -1.0094, 1.7169] = 403.5569, sampling [1.0, -0.4705, -0.4053]. Recommendation = [0.0, 0.3616, -0.0054], Current Cost = 5033.00, Rho = 1.000
