(iter 5) [0.0, -0.8518, 1.9131] = 311.8517, sampling [0.0, 0.6266, -1.1436]. Recommendation = [0.0, -0.8518, 1.9131], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.8518, 1.9131] = 311.8517, sampling [0.0, -1.1883, 1.8777]. Recommendation = [0.0, -0.8518, 1.9131], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, -1.1883, 1.8777] = 429.8174, sampling [0.0, -1.5355, 1.8593]. Recommendation = [0.0, -1.1883, 1.8777], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, -1.1883, 1.8777] = 429.8174, sampling [0.0, -1.2462, 1.7548]. Recommendation = [0.0, -1.1883, 1.8777], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, -1.2462, 1.7548] = 447.1808, sampling [0.0, -1.4594, 1.5000]. Recommendation = [0.0, -1.2462, 1.7548], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, -1.2462, 1.7548] = 447.1808, sampling [0.0, -1.2654, 1.5572]. Recommendation = [0.0, -1.2462, 1.7548], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, -1.2654, 1.5572] = 450.9746, sampling [0.0, -1.1737, 1.6547]. Recommendation = [0.0, -1.2654, 1.5572], Current Cost = 11000.00, Rho = -1.230
(iter 10) [0.0, -1.2654, 1.5572] = 450.9746, sampling [0.0, -1.1477, 1.3911]. Recommendation = [0.0, -1.2654, 1.5572], Current Cost = 12000.00, Rho = -1.230
(iter 12) [0.0, -1.1477, 1.3911] = 451.1423, sampling [0.0, -1.0508, 1.4763]. Recommendation = [0.0, -1.1477, 1.3911], Current Cost = 13000.00, Rho = -1.230
(iter 12) [0.0, -1.1477, 1.3911] = 451.1423, sampling [0.0, -1.2630, 1.1786]. Recommendation = [0.0, -1.1477, 1.3911], Current Cost = 14000.00, Rho = -1.230
(iter 12) [0.0, -1.1477, 1.3911] = 451.1423, sampling [0.0, -1.0378, 1.2771]. Recommendation = [0.0, -1.1477, 1.3911], Current Cost = 15000.00, Rho = -1.230
(iter 12) [0.0, -1.1477, 1.3911] = 451.1423, sampling [0.0, -1.3407, 1.4420]. Recommendation = [0.0, -1.1477, 1.3911], Current Cost = 16000.00, Rho = -1.230
(iter 12) [0.0, -1.1477, 1.3911] = 451.1423, sampling [0.0, -1.6816, 1.5921]. Recommendation = [0.0, -1.1477, 1.3911], Current Cost = 17000.00, Rho = -1.230
