(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.0152, 0.1272]. Recommendation = [0.0, -0.3975, 0.0982], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.4090, 0.4022]. Recommendation = [0.0, -0.2948, 0.0931], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.5910, -0.0427]. Recommendation = [0.0, 0.0737, 0.3060], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.1227, 0.4128]. Recommendation = [0.0, 0.1153, 0.2714], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.2948, 0.0931]. Recommendation = [0.0, 0.1153, 0.2714], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.2092, -0.1935]. Recommendation = [0.0, 0.1153, 0.2714], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.2015, 0.7997]. Recommendation = [0.0, 0.3290, -0.0007], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.3290, -0.0007]. Recommendation = [0.0, 0.3290, -0.0007], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.1688, 0.3351]. Recommendation = [0.0, 0.1153, 0.2714], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.1518, -0.1265]. Recommendation = [0.0, -0.2948, 0.0931], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.7536, 0.2142]. Recommendation = [0.0, 0.1354, -0.0957], Current Cost = 5015.00, Rho = 1.000
