(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.7185, -0.2316]. Recommendation = [0.0, 0.6785, -0.5744], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.9737, -0.1674]. Recommendation = [0.0, 0.7185, -0.2316], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.6253, 0.0000]. Recommendation = [0.0, 0.7185, -0.2316], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.7516, 0.1220]. Recommendation = [0.0, 0.6253, 0.0000], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.5697, 0.1144]. Recommendation = [0.0, 0.6253, 0.0000], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.5648, 0.3429]. Recommendation = [0.0, 0.5697, 0.1144], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.8808, 0.2820]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.7686, 0.2382]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.5911, 0.5902]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.9202, 0.5552]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.5215, 0.4360]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.9644, 0.4272]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.6382, 0.7272]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.8780, 0.6554]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.3027, 0.3652]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.4700, 0.3499]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.4156, -0.0667]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.2411, 0.1843]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.4915, 0.7337]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.4576, -0.2577]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.4814, -0.1311]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.2243, 0.7596]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.2504, 0.4408]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.6920, 0.8365]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.5388, 0.8946]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.1123, 0.1325]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.0803, 0.5371]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.0283, -0.0568]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.1831, -0.3068]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.3378, -0.2696]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.0319, 0.4147]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.0407, -0.1984]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.2209, 0.0706]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.1115, 0.3704]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.2906, -0.5232]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.0721, -0.3991]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.3030, -0.1728]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.2715, -0.2970]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.3355, -0.0014]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.1607, 0.6462]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.0152, 0.8513]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.3972, 0.1645]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.1146, 0.5275]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.0386, -0.1540]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.0422, -0.5998]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.2846, -0.3255]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.2035, 1.0514]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.4960, -0.4867]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.8338, 1.0017]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.5974, 0.9923]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.0870, 0.9600]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.9510, 1.0910]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.7438, 1.1883]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.1247, 0.5049]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.1573, -0.4236]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.4403, 0.4933]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.4817, 0.3353]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.4988, 0.1078]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.5234, -0.0920]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.3869, -0.2451]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.3419, 0.7396]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.5564, 0.2559]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.4643, 0.6136]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.1333, 1.1156]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.0040, 1.1394]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.1015, 1.2258]. Recommendation = [0.0, 0.5648, 0.3429], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.0102, 1.3641]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.8174, 1.3762]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.5460, 1.2489]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.2498, 1.2403]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.1379, 1.4013]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.0355, 1.4596]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.1081, 0.7002]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.3288, 0.8694]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.2471, -0.6160]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.4765, 0.4578]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.6274, 0.1933]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.6156, -0.0335]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.5847, -0.2942]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5083.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.2938, 0.9865]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5084.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.6891, 0.0976]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5085.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.3093, 0.8984]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5086.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.3891, 1.1228]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5087.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.4314, -0.5896]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5088.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.1548, -0.7588]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5089.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.1324, -0.7157]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5090.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.3161, -0.7089]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5091.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.0307, 1.6306]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5092.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.8160, 1.7589]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5093.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.4319, 1.4987]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5094.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.3589, -0.2875]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5095.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.7032, -0.1494]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5096.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.5399, 0.6204]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5097.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.4530, 0.7724]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5098.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.7365, 0.5448]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5099.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.6789, 0.7961]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5100.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.8363, 0.2710]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5101.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.8250, 0.0954]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5102.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.7835, -0.1024]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5103.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.8899, 0.5008]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5104.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.8859, 0.6018]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5105.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.6848, 1.0714]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5106.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.5296, 1.1513]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5107.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, -0.5786, -0.4270]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5108.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 0.4392, 0.8566]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5109.00, Rho = 1.000
(iter 10) [0.0, 0.6785, -0.5744] = 349.1373, sampling [1.0, 1.2066, 0.1527]. Recommendation = [0.0, 1.1015, 1.2258], Current Cost = 5110.00, Rho = 1.000
