(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, -0.1027, 1.1194]. Recommendation = [0.0, 0.0444, 0.7795], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, -0.8246, 0.5118]. Recommendation = [0.0, 0.2537, 0.3573], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, -0.3496, 0.4086]. Recommendation = [0.0, -0.8246, 0.5118], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, -0.8370, 0.8890]. Recommendation = [0.0, -0.8246, 0.5118], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, -1.2145, 0.7076]. Recommendation = [0.0, -0.6733, 0.6132], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, 0.6838, 1.0837]. Recommendation = [0.0, -0.6733, 0.6132], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, -0.4817, 0.6495]. Recommendation = [0.0, -0.6733, 0.6132], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, 0.1277, 0.5270]. Recommendation = [0.0, -0.8246, 0.5118], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, -0.8179, 1.2419]. Recommendation = [0.0, -0.8246, 0.5118], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, -0.6471, 0.2155]. Recommendation = [0.0, -0.8246, 0.5118], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, 0.7838, 1.6091]. Recommendation = [0.0, -0.7227, 0.4858], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, -0.9955, 0.0502]. Recommendation = [0.0, -0.7227, 0.4858], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, 0.4453, 0.7288]. Recommendation = [0.0, -0.7227, 0.4858], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.2537, 0.3573] = 447.1628, sampling [1.0, -0.2521, 0.0982]. Recommendation = [0.0, -0.7227, 0.4858], Current Cost = 5018.00, Rho = 1.000
