(iter 10) [0.0, -0.3474, -1.3079] = 250.3880, sampling [1.0, -0.2278, -1.0388]. Recommendation = [0.0, -0.3474, -1.3079], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.3474, -1.3079] = 250.3880, sampling [1.0, -0.1880, -0.8181]. Recommendation = [0.0, -0.2278, -1.0388], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.3474, -1.3079] = 250.3880, sampling [1.0, -0.1516, -0.8369]. Recommendation = [0.0, -0.1880, -0.8181], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.3474, -1.3079] = 250.3880, sampling [1.0, -0.1670, -0.6496]. Recommendation = [0.0, -0.1880, -0.8181], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.3474, -1.3079] = 250.3880, sampling [1.0, -0.0938, -0.5770]. Recommendation = [0.0, -0.1670, -0.6496], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.3474, -1.3079] = 250.3880, sampling [1.0, -0.0339, -0.4353]. Recommendation = [0.0, -0.0938, -0.5770], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.3474, -1.3079] = 250.3880, sampling [1.0, -0.0714, -0.2916]. Recommendation = [0.0, -0.0339, -0.4353], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.3474, -1.3079] = 250.3880, sampling [1.0, -0.2033, -0.1552]. Recommendation = [0.0, -0.0714, -0.2916], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.3474, -1.3079] = 250.3880, sampling [1.0, -0.3392, -0.0765]. Recommendation = [0.0, -0.2033, -0.1552], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.3474, -1.3079] = 250.3880, sampling [1.0, -0.4421, -0.2865]. Recommendation = [0.0, -0.2033, -0.1552], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.3474, -1.3079] = 250.3880, sampling [1.0, -0.4546, -0.1761]. Recommendation = [0.0, -0.2033, -0.1552], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.3474, -1.3079] = 250.3880, sampling [1.0, -0.1955, 0.1681]. Recommendation = [0.0, -0.2033, -0.1552], Current Cost = 5016.00, Rho = 1.000
