(iter 10) [0.0, 0.8602, -0.3239] = 343.1084, sampling [1.0, 0.6087, 0.3409]. Recommendation = [0.0, 0.8602, -0.3239], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.8602, -0.3239] = 343.1084, sampling [1.0, 0.6430, 0.6623]. Recommendation = [0.0, 0.6087, 0.3409], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.8602, -0.3239] = 343.1084, sampling [1.0, 0.7493, 0.3499]. Recommendation = [0.0, 0.6087, 0.3409], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.8602, -0.3239] = 343.1084, sampling [1.0, 0.3453, 0.3546]. Recommendation = [0.0, 0.6087, 0.3409], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.8602, -0.3239] = 343.1084, sampling [1.0, 0.3896, 0.7829]. Recommendation = [0.0, 0.6087, 0.3409], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.8602, -0.3239] = 343.1084, sampling [1.0, 0.4644, 0.3068]. Recommendation = [0.0, 0.6087, 0.3409], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.8602, -0.3239] = 343.1084, sampling [1.0, 0.6491, 0.2255]. Recommendation = [0.0, 0.4492, 0.3348], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.8602, -0.3239] = 343.1084, sampling [1.0, 0.8254, 0.5877]. Recommendation = [0.0, 0.4492, 0.3348], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.8602, -0.3239] = 343.1084, sampling [1.0, 0.8967, 0.1917]. Recommendation = [0.0, 0.4492, 0.3348], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.8602, -0.3239] = 343.1084, sampling [1.0, 0.6287, 0.0205]. Recommendation = [0.0, 0.4492, 0.3348], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.8602, -0.3239] = 343.1084, sampling [1.0, 0.3184, 0.0710]. Recommendation = [0.0, 0.4492, 0.3348], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.8602, -0.3239] = 343.1084, sampling [1.0, 0.0731, 0.4798]. Recommendation = [0.0, 0.6087, 0.3409], Current Cost = 5016.00, Rho = 1.000
