(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, 0.2499, -0.1675]. Recommendation = [0.0, 0.3597, 0.5725], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, 0.6326, 0.0946]. Recommendation = [0.0, 0.2499, -0.1675], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, 0.7543, 0.9182]. Recommendation = [0.0, 0.2499, -0.1675], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, -0.0838, 0.2791]. Recommendation = [0.0, 0.2499, -0.1675], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, 0.3029, 1.1351]. Recommendation = [0.0, 0.3438, 0.1282], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, -0.2254, -0.2230]. Recommendation = [0.0, 0.3438, 0.1282], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, 0.4802, -0.5701]. Recommendation = [0.0, 0.1727, 0.0708], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, 0.7823, 0.5328]. Recommendation = [0.0, 0.1727, 0.0708], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, 0.0365, -0.3664]. Recommendation = [0.0, 0.1727, 0.0708], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, 0.3438, 0.1282]. Recommendation = [0.0, 0.1727, 0.0708], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, 0.9618, -0.1697]. Recommendation = [0.0, 0.1727, 0.0708], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, 1.1008, 0.9331]. Recommendation = [0.0, 0.1727, 0.0708], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, -0.2350, 0.6902]. Recommendation = [0.0, 0.1727, 0.0708], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.3597, 0.5725] = 436.2555, sampling [1.0, 0.0990, 0.5452]. Recommendation = [0.0, 0.1727, 0.0708], Current Cost = 5018.00, Rho = 1.000
