(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.0985, 0.0182]. Recommendation = [0.0, 0.2374, -0.1648], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.4469, 0.4286]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.1108, 0.3225]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.4739, 0.0394]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.5613, 0.7917]. Recommendation = [0.0, -0.3887, 0.2931], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.8975, 0.5521]. Recommendation = [0.0, -0.3887, 0.2931], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.8180, 1.1196]. Recommendation = [0.0, -0.3887, 0.2931], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.7245, 0.3088]. Recommendation = [0.0, -0.3887, 0.2931], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.2706, -0.3013]. Recommendation = [0.0, -0.3887, 0.2931], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.9777, 0.7922]. Recommendation = [0.0, -0.3887, 0.2931], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.6130, 0.5902]. Recommendation = [0.0, -0.3887, 0.2931], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.0317, -0.1155]. Recommendation = [0.0, -0.3887, 0.2931], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.1905, 0.8983]. Recommendation = [0.0, -0.3887, 0.2931], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.7768, 0.0107]. Recommendation = [0.0, -0.3887, 0.2931], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.3887, 0.2931]. Recommendation = [0.0, -0.3451, -0.0115], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.2460, 0.5035]. Recommendation = [0.0, -0.3451, -0.0115], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.3451, -0.0115]. Recommendation = [0.0, -0.3451, -0.0115], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.0094, 0.2970]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.3782, 1.2541]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.1016, 1.1666]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.0407, 1.4756]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.9391, 1.2588]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, 0.0564, -0.2956]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.4948, -0.1490]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.9483, 1.0493]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.6454, 0.1341]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, 0.0705, 0.5602]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, 0.2883, 0.1273]. Recommendation = [0.0, -0.0985, 0.0182], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, 0.0192, 0.2528]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.1571, 0.9187]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.5407, -0.5224]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.2861, 1.2724]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.6714, 0.4680]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.9900, -0.2221]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.6163, 1.4240]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.8027, 0.6161]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.3217, 0.7661]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.1337, -0.3370]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.0884, 0.7010]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.3755, 1.5047]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.2120, 1.5662]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.0660, 1.3355]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.1765, -0.7837]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.3186, -0.5914]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.6794, 1.1218]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.0953, 0.2059]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, 0.1522, -0.4422]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.0725, 0.5806]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.5286, 1.2321]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.3313, 1.8192]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.1350, 1.7704]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.2939, 1.6928]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.5728, 1.6746]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, 0.3353, 0.6618]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, 0.1979, 0.5081]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, 0.2218, 0.8900]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, 0.4767, 0.3681]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, 0.4180, 0.1903]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -1.2061, 0.4401]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, 0.3590, 0.0409]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.5038, -0.3754]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.2556, -0.4302]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, -0.4066, 0.9891]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.1648] = 450.8290, sampling [1.0, 0.1334, -0.6493]. Recommendation = [0.0, -0.0481, -0.0193], Current Cost = 5068.00, Rho = 1.000
