(iter 10) [0.0, -0.5333, -0.4172] = 404.7289, sampling [1.0, 0.2806, -0.0908]. Recommendation = [0.0, -0.5333, -0.4172], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5333, -0.4172] = 404.7289, sampling [1.0, -0.1506, -0.0203]. Recommendation = [0.0, 0.2806, -0.0908], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5333, -0.4172] = 404.7289, sampling [1.0, 0.5462, 0.4518]. Recommendation = [0.0, -0.1506, -0.0203], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5333, -0.4172] = 404.7289, sampling [1.0, 0.1343, 0.3561]. Recommendation = [0.0, -0.1506, -0.0203], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5333, -0.4172] = 404.7289, sampling [1.0, 0.8462, 0.0129]. Recommendation = [0.0, -0.1506, -0.0203], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5333, -0.4172] = 404.7289, sampling [1.0, 0.0090, -0.3279]. Recommendation = [0.0, -0.1506, -0.0203], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5333, -0.4172] = 404.7289, sampling [1.0, 0.5313, 0.0327]. Recommendation = [0.0, -0.1271, -0.1296], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5333, -0.4172] = 404.7289, sampling [1.0, -0.2535, 0.2551]. Recommendation = [0.0, -0.1271, -0.1296], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5333, -0.4172] = 404.7289, sampling [1.0, 0.1889, 0.7176]. Recommendation = [0.0, -0.1271, -0.1296], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5333, -0.4172] = 404.7289, sampling [1.0, -0.3620, -0.1524]. Recommendation = [0.0, -0.1271, -0.1296], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5333, -0.4172] = 404.7289, sampling [1.0, 0.7774, 0.6560]. Recommendation = [0.0, -0.1271, -0.1296], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5333, -0.4172] = 404.7289, sampling [1.0, 0.8622, 0.3181]. Recommendation = [0.0, -0.1271, -0.1296], Current Cost = 5016.00, Rho = 1.000
