(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, -0.2221, 0.0966]. Recommendation = [0.0, -0.2451, -0.5185], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, -0.2669, 0.3714]. Recommendation = [0.0, -0.2221, 0.0966], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, -0.4201, 0.2128]. Recommendation = [0.0, -0.2221, 0.0966], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, -0.4024, 0.0614]. Recommendation = [0.0, -0.2221, 0.0966], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, -0.1268, 0.0418]. Recommendation = [0.0, -0.2221, 0.0966], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, -0.1152, -0.2262]. Recommendation = [0.0, -0.1268, 0.0418], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, 0.0930, 0.3432]. Recommendation = [0.0, -0.1268, 0.0418], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, -0.4822, 0.4438]. Recommendation = [0.0, -0.1268, 0.0418], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, 0.1621, 0.0366]. Recommendation = [0.0, -0.1268, 0.0418], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, 0.0774, -0.1145]. Recommendation = [0.0, 0.1621, 0.0366], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, -0.5757, 0.2742]. Recommendation = [0.0, 0.1621, 0.0366], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, -0.1453, 0.6640]. Recommendation = [0.0, 0.1621, 0.0366], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, -0.4502, 0.3859]. Recommendation = [0.0, 0.1621, 0.0366], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, 0.0071, -0.2144]. Recommendation = [0.0, 0.1621, 0.0366], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, -0.6571, 0.5081]. Recommendation = [0.0, 0.1621, 0.0366], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.2451, -0.5185] = 421.2680, sampling [1.0, -0.5575, 0.1655]. Recommendation = [0.0, 0.1621, 0.0366], Current Cost = 5020.00, Rho = 1.000
