(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.0306, 0.9265]. Recommendation = [0.0, 0.0698, 0.6183], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.0583, 0.4165]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.1853, 0.4896]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.3828, 0.8805]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.5323, 1.0974]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.1668, 1.6290]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.2075, 0.5531]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.5271, 0.7554]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.1375, 0.2842]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.5612, 0.4061]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.8462, 0.8654]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.9434, 1.2601]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.1006, 1.0026]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.9813, 0.6685]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.4084, 1.2938]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.1098, 1.3173]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.3320, 0.2800]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.1254, 1.1513]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.4376, 0.3835]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.0501, 0.8333]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.7293, 1.0515]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.5387, 0.7121]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.1489, 1.5126]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.5024, 0.4610]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.0698, 0.6183]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.3767, 1.7718]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.3048, 1.6192]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.5482, 1.5728]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.1572, 1.8021]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.2845, 0.7414]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.0337, 0.1484]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.0896, 0.3233]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.7543, 0.2523]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.6299, 0.9011]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.3488, 1.9435]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.7163, 2.0000]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5040.00, Rho = 1.000
