(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.3960, -0.2624]. Recommendation = [0.0, 0.5463, -0.0013], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.4107, -0.0264]. Recommendation = [0.0, 0.5463, -0.0013], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.2566, -0.0912]. Recommendation = [0.0, 0.4107, -0.0264], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.2234, -0.2410]. Recommendation = [0.0, 0.2566, -0.0912], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.1053, -0.4025]. Recommendation = [0.0, 0.2566, -0.0912], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.1389, -0.2345]. Recommendation = [0.0, 0.2566, -0.0912], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.1766, -0.5202]. Recommendation = [0.0, 0.2566, -0.0912], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.0540, -0.1938]. Recommendation = [0.0, 0.2566, -0.0912], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.1480, -0.0163]. Recommendation = [0.0, 0.2566, -0.0912], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.2476, -0.0347]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.2036, -0.2043]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.0206, -0.2135]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.1008, -0.5028]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.1041, -0.1046]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.0741, 0.0269]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.2810, -0.3207]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.1132, -0.1409]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.2094, -0.0467]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.0395, 0.1430]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.3712, -0.0614]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.3148, 0.0497]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.3923, -0.2966]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.2492, -0.5395]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.2640, 0.2167]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.1592, 0.2547]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.0148, 0.2621]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.3459, 0.1159]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.4994, 0.0165]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.4470, 0.1299]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.3576, 0.2771]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.1866, 0.3401]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.3618, 0.2985]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.3048, 0.3352]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.0669, -0.6652]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.0933, -0.4934]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.2367, 0.4183]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.0582, 0.5180]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.4501, 0.1575]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.1947, 0.5491]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.5962, 0.1767]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.3680, 0.5226]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.4607, -0.4155]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.1238, -0.6835]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.4358, -0.5993]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.6494, 0.1913]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.5688, 0.3692]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.3914, 0.5815]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.7245, -0.2209]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.8208, 0.0823]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.7001, -0.1308]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.5186, 0.6692]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.7678, 0.6131]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.9497, 0.4278]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.9309, 0.2888]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.8701, 0.5976]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.7351, 0.7098]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.6861, 0.7833]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.8268, 0.8029]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.0653, 0.7378]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.5299, 0.9680]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.1236, 0.8544]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -1.0673, 0.7940]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -1.1577, 0.5092]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.7059, -0.0488]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.6201, -0.4764]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.2511, -0.6794]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -1.0191, 1.0489]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -1.1267, 0.8946]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.7490, 1.2198]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -1.1621, 0.9515]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -0.5886, -0.4370]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, -1.0517, 0.4518]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.7727, 0.0605]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.5159, 0.6257]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.4531, 0.6936]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.7384, 0.4683]. Recommendation = [0.0, 0.1480, -0.0163], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, 0.5463, -0.0013] = 447.1092, sampling [1.0, 0.7961, 0.4444]. Recommendation = [0.0, 0.7384, 0.4683], Current Cost = 5081.00, Rho = 1.000
