(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.4203, 1.0955]. Recommendation = [0.0, 0.0812, 0.9834], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.0545, 1.4351]. Recommendation = [0.0, -0.4203, 1.0955], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.2567, 0.4514]. Recommendation = [0.0, -0.4203, 1.0955], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 0.2702, 0.2457]. Recommendation = [0.0, -0.2567, 0.4514], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 0.0918, 0.5539]. Recommendation = [0.0, 0.2702, 0.2457], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.1372, 0.0986]. Recommendation = [0.0, 0.2702, 0.2457], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 0.7862, 0.2886]. Recommendation = [0.0, -0.0039, 0.2632], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 0.5227, 0.7593]. Recommendation = [0.0, -0.0039, 0.2632], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 0.4682, 0.4562]. Recommendation = [0.0, -0.0039, 0.2632], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 0.5332, -0.0560]. Recommendation = [0.0, -0.0039, 0.2632], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.6809, 0.7108]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.3072, 0.6798]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 0.1739, -0.0049]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.5746, 0.4465]. Recommendation = [0.0, 0.5158, 0.1345], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.4803, -0.0676]. Recommendation = [0.0, 0.5158, 0.1345], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.0800, -0.2697]. Recommendation = [0.0, 0.5158, 0.1345], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 0.9561, 0.6481]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 0.7198, 1.1066]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.9509, 0.4865]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -1.0807, 1.0302]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.7908, 0.9301]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.8126, 0.1440]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.9688, 1.3765]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -1.2597, 0.7491]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.0039, 0.2632]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 1.2583, 0.3650]. Recommendation = [0.0, 0.5612, 0.2784], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 1.0856, 0.9883]. Recommendation = [0.0, 0.2306, 0.1213], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 1.0484, 1.4604]. Recommendation = [0.0, 0.9329, 0.8588], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 0.6227, 1.6104]. Recommendation = [0.0, 0.2306, 0.1213], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 1.5134, 1.1294]. Recommendation = [0.0, 0.2306, 0.1213], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 1.0770, 1.2273]. Recommendation = [0.0, 0.2306, 0.1213], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, 0.2388, -0.3799]. Recommendation = [0.0, 0.2306, 0.1213], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.0812, 0.9834] = 360.0369, sampling [1.0, -0.7387, 1.3037]. Recommendation = [0.0, 0.2306, 0.1213], Current Cost = 5037.00, Rho = 1.000
