(iter 10) [0.0, -0.3830, -0.1121] = 447.6898, sampling [1.0, 0.5710, 0.1052]. Recommendation = [0.0, 0.0231, 0.0060], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.3830, -0.1121] = 447.6898, sampling [1.0, 1.3932, 0.1329]. Recommendation = [0.0, 0.2148, 0.0844], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.3830, -0.1121] = 447.6898, sampling [1.0, 0.0889, 0.4316]. Recommendation = [0.0, 0.2148, 0.0844], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.3830, -0.1121] = 447.6898, sampling [1.0, 0.0876, -0.0349]. Recommendation = [0.0, 0.2148, 0.0844], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.3830, -0.1121] = 447.6898, sampling [1.0, 0.2794, 0.9572]. Recommendation = [0.0, 0.2625, 0.2163], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.3830, -0.1121] = 447.6898, sampling [1.0, 0.2329, -0.4166]. Recommendation = [0.0, 0.2148, 0.0844], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.3830, -0.1121] = 447.6898, sampling [1.0, 0.6288, 0.6564]. Recommendation = [0.0, 0.2148, 0.0844], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.3830, -0.1121] = 447.6898, sampling [1.0, 0.2625, 0.2163]. Recommendation = [0.0, 0.2625, 0.2163], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.3830, -0.1121] = 447.6898, sampling [1.0, -0.1524, 0.1958]. Recommendation = [0.0, 0.2148, 0.0844], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.3830, -0.1121] = 447.6898, sampling [1.0, 0.5410, 1.7651]. Recommendation = [0.0, 0.0231, 0.0060], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.3830, -0.1121] = 447.6898, sampling [1.0, 0.4292, -0.1687]. Recommendation = [0.0, 0.0231, 0.0060], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.3830, -0.1121] = 447.6898, sampling [1.0, -0.1766, -0.0992]. Recommendation = [0.0, 0.0231, 0.0060], Current Cost = 5016.00, Rho = 1.000
