(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.0918, -0.5682]. Recommendation = [0.0, 0.2374, -0.6689], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.0133, -0.2396]. Recommendation = [0.0, -0.0918, -0.5682], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.1188, -0.4526]. Recommendation = [0.0, -0.0133, -0.2396], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.1065, -0.4113]. Recommendation = [0.0, -0.0133, -0.2396], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.2667, -0.1079]. Recommendation = [0.0, -0.0133, -0.2396], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.0985, 0.0716]. Recommendation = [0.0, -0.2667, -0.1079], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.1249, 0.0587]. Recommendation = [0.0, -0.0985, 0.0716], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.0039, 0.3060]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.2941, 0.2231]. Recommendation = [0.0, 0.0260, 0.1079], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.1922, 0.3885]. Recommendation = [0.0, -0.1255, 0.1760], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.0230, 0.5654]. Recommendation = [0.0, -0.1255, 0.1760], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.1255, 0.1760]. Recommendation = [0.0, -0.1255, 0.1760], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.2770, 0.0076]. Recommendation = [0.0, 0.0260, 0.1079], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.0260, 0.1079]. Recommendation = [0.0, 0.0260, 0.1079], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.3969, -0.2678]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.4543, -0.0516]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.3008, 0.1306]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.4825, 0.3645]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.2638, 0.5959]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.3267, -0.1821]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.3296, 0.2100]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.0860, 0.4331]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.3042, -0.4059]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.4630, 0.5335]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.2922, 0.5891]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.1378, 0.9245]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.3293, 0.2678]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.1557, 0.5721]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.4356, -0.4916]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.6898, 0.2524]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.6526, -0.0434]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.6338, 0.5230]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.3920, 0.7421]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.5875, -0.2441]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.5995, 0.6246]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.2020, 1.0736]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.0659, 0.1448]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.0270, 0.4033]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.4553, -0.1238]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.4956, 0.3255]. Recommendation = [0.0, 0.1249, 0.0587], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.4271, 0.4752]. Recommendation = [0.0, 0.4956, 0.3255], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.5599, -0.0981]. Recommendation = [0.0, 0.4956, 0.3255], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, 0.3629, 0.5112]. Recommendation = [0.0, 0.4956, 0.3255], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.7561, 0.6338]. Recommendation = [0.0, 0.4956, 0.3255], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.7077, 1.0137]. Recommendation = [0.0, 0.4956, 0.3255], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.4898, 1.0812]. Recommendation = [0.0, 0.4956, 0.3255], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.2374, -0.6689] = 403.1204, sampling [1.0, -0.9735, 0.8284]. Recommendation = [0.0, 0.4956, 0.3255], Current Cost = 5051.00, Rho = 1.000
