(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, 0.0762, 0.4716]. Recommendation = [0.0, 0.0442, -0.5681], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, 0.0601, -0.0023]. Recommendation = [0.0, 0.0762, 0.4716], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.1311, 0.2172]. Recommendation = [0.0, 0.0601, -0.0023], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.1716, -0.1712]. Recommendation = [0.0, -0.1311, 0.2172], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, 0.0188, -0.2990]. Recommendation = [0.0, -0.1049, -0.1334], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, 0.0711, 0.2238]. Recommendation = [0.0, -0.1049, -0.1334], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, 0.1953, 0.8276]. Recommendation = [0.0, -0.1049, -0.1334], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.1650, 0.0385]. Recommendation = [0.0, -0.1049, -0.1334], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.2387, 0.5860]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.3511, 0.2124]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.3277, 0.0073]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.1442, 0.3227]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.0875, -0.3997]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.0131, -0.2073]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.5324, 0.4102]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.6115, 0.0881]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.4592, 0.3128]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.3834, -0.1532]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.4603, 0.0500]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.5106, 0.7081]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.1981, 0.9063]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.4946, 0.5545]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.7360, 0.3442]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.6924, 0.6528]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.5953, 0.2896]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, -0.6574, 0.4510]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, 0.2265, -0.2349]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, 0.2985, 0.4554]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0442, -0.5681] = 422.8936, sampling [1.0, 0.3518, 0.1290]. Recommendation = [0.0, -0.1650, 0.0385], Current Cost = 5033.00, Rho = 1.000
