(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, 0.2080, -0.5640]. Recommendation = [0.0, 0.5948, -0.7806], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, 0.0200, -0.2769]. Recommendation = [0.0, 0.2080, -0.5640], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.0286, -0.4825]. Recommendation = [0.0, 0.0200, -0.2769], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.1217, -0.1588]. Recommendation = [0.0, 0.0200, -0.2769], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, 0.0370, -0.0627]. Recommendation = [0.0, -0.1217, -0.1588], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.2460, -0.0242]. Recommendation = [0.0, -0.0700, -0.1852], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.1052, 0.0714]. Recommendation = [0.0, -0.0700, -0.1852], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.2566, 0.2196]. Recommendation = [0.0, -0.0981, -0.0731], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.2804, -0.2230]. Recommendation = [0.0, -0.0981, -0.0731], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.3275, 0.0529]. Recommendation = [0.0, -0.0981, -0.0731], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.0937, 0.3574]. Recommendation = [0.0, -0.0981, -0.0731], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.0981, -0.0731]. Recommendation = [0.0, -0.0981, -0.0731], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.4252, 0.2756]. Recommendation = [0.0, -0.0981, -0.0731], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.2851, 0.4404]. Recommendation = [0.0, -0.0981, -0.0731], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.3104, 0.3033]. Recommendation = [0.0, -0.0981, -0.0731], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.5948, -0.7806] = 327.4668, sampling [1.0, -0.3972, 0.1762]. Recommendation = [0.0, -0.0981, -0.0731], Current Cost = 5020.00, Rho = 1.000
