(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, -0.2815, 0.0085]. Recommendation = [0.0, -0.5315, -0.3089], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, -0.2168, -0.2898]. Recommendation = [0.0, -0.2815, 0.0085], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, -0.5796, 0.0019]. Recommendation = [0.0, -0.2815, 0.0085], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, -0.2868, 0.2874]. Recommendation = [0.0, -0.3959, -0.2101], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, -0.0139, 0.1246]. Recommendation = [0.0, -0.3622, 0.0495], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, -0.0754, 0.6165]. Recommendation = [0.0, -0.3098, 0.1328], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, -0.5092, 0.4770]. Recommendation = [0.0, -0.3098, 0.1328], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, -0.3775, 0.8447]. Recommendation = [0.0, -0.3098, 0.1328], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, -0.5043, 0.2602]. Recommendation = [0.0, -0.3098, 0.1328], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, 0.0954, -0.2191]. Recommendation = [0.0, -0.3098, 0.1328], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, -0.0673, -0.1318]. Recommendation = [0.0, -0.1744, 0.0292], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, 0.2600, 0.2675]. Recommendation = [0.0, -0.1744, 0.0292], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, 0.1124, 0.3719]. Recommendation = [0.0, -0.0673, -0.1318], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, 0.1911, 0.0873]. Recommendation = [0.0, -0.0673, -0.1318], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, 0.3219, 0.6560]. Recommendation = [0.0, -0.0673, -0.1318], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, 0.0322, 0.9632]. Recommendation = [0.0, -0.0673, -0.1318], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, -0.0631, -0.5912]. Recommendation = [0.0, -0.0673, -0.1318], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, 0.4042, -0.1418]. Recommendation = [0.0, -0.0673, -0.1318], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, 0.2715, -0.4559]. Recommendation = [0.0, -0.0673, -0.1318], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, 0.4964, 0.3063]. Recommendation = [0.0, -0.0673, -0.1318], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, 0.4502, 0.0554]. Recommendation = [0.0, -0.0673, -0.1318], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, 0.2665, -0.0992]. Recommendation = [0.0, 0.3260, 0.0830], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.5315, -0.3089] = 418.9762, sampling [1.0, -0.3959, -0.2101]. Recommendation = [0.0, 0.3260, 0.0830], Current Cost = 5027.00, Rho = 1.000
