(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.1953, 0.2056]. Recommendation = [0.0, -0.4532, -0.0824], Current Cost = 5005.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, -0.1701, 0.1259]. Recommendation = [0.0, 0.1953, 0.2056], Current Cost = 5006.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.5954, 0.4474]. Recommendation = [0.0, -0.1701, 0.1259], Current Cost = 5007.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.2016, 0.5115]. Recommendation = [0.0, -0.1701, 0.1259], Current Cost = 5008.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.0447, -0.0624]. Recommendation = [0.0, -0.1701, 0.1259], Current Cost = 5009.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.4403, 0.0553]. Recommendation = [0.0, -0.0043, 0.0579], Current Cost = 5010.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.9180, 0.1935]. Recommendation = [0.0, -0.0043, 0.0579], Current Cost = 5011.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.4446, 0.2731]. Recommendation = [0.0, -0.0043, 0.0579], Current Cost = 5012.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.8906, 0.7606]. Recommendation = [0.0, -0.0043, 0.0579], Current Cost = 5013.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, -0.0533, 0.2983]. Recommendation = [0.0, -0.0043, 0.0579], Current Cost = 5014.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.5053, 0.8794]. Recommendation = [0.0, -0.1701, 0.1259], Current Cost = 5015.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, -0.1923, -0.0939]. Recommendation = [0.0, -0.1701, 0.1259], Current Cost = 5016.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.3279, -0.2065]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5017.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.7977, 0.5232]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5018.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 1.1525, 0.5916]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5019.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.2644, -0.0226]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5020.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.6920, 0.1461]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5021.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.4594, 0.5990]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5022.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, -0.0043, 0.0579]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5023.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.5770, -0.1749]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5024.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.7486, 0.6665]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5025.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.8575, 1.0084]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5026.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.2926, 0.3792]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5027.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, -0.0038, -0.3424]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5028.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, -0.0752, -0.1781]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5029.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.6976, 0.8191]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5030.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, -0.2975, 0.1150]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5031.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, -0.1583, 0.4886]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5032.00, Rho = 0.989
(iter 10) [0.0, -0.4532, -0.0824] = 445.9058, sampling [1.0, 0.3933, 0.1573]. Recommendation = [0.0, -0.1644, 0.0272], Current Cost = 5033.00, Rho = 0.989
