(iter 10) [0.0, -0.2656, -0.3410] = 437.7618, sampling [1.0, -0.2637, 0.2971]. Recommendation = [0.0, -0.2656, -0.3410], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2656, -0.3410] = 437.7618, sampling [1.0, -0.6099, -0.0673]. Recommendation = [0.0, -0.2637, 0.2971], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2656, -0.3410] = 437.7618, sampling [1.0, 0.0227, 0.7574]. Recommendation = [0.0, -0.2637, 0.2971], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2656, -0.3410] = 437.7618, sampling [1.0, -0.5526, 0.5656]. Recommendation = [0.0, -0.2637, 0.2971], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2656, -0.3410] = 437.7618, sampling [1.0, -0.2928, 1.0618]. Recommendation = [0.0, -0.3587, 0.3084], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2656, -0.3410] = 437.7618, sampling [1.0, -0.0674, 0.0074]. Recommendation = [0.0, -0.3587, 0.3084], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2656, -0.3410] = 437.7618, sampling [1.0, 0.2509, 0.3856]. Recommendation = [0.0, -0.3559, 0.1997], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2656, -0.3410] = 437.7618, sampling [1.0, -0.0474, 0.4011]. Recommendation = [0.0, -0.1013, 0.2837], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2656, -0.3410] = 437.7618, sampling [1.0, -0.7596, -0.6261]. Recommendation = [0.0, -0.3559, 0.1997], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2656, -0.3410] = 437.7618, sampling [1.0, -0.5153, 0.2632]. Recommendation = [0.0, -0.0674, 0.0074], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2656, -0.3410] = 437.7618, sampling [1.0, 0.4441, 0.8274]. Recommendation = [0.0, -0.3559, 0.1997], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.2656, -0.3410] = 437.7618, sampling [1.0, -0.8997, 0.1723]. Recommendation = [0.0, -0.3559, 0.1997], Current Cost = 5016.00, Rho = 1.000
