(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, -0.3362, 1.6689]. Recommendation = [0.0, -1.1595, 1.8613], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.7592, -0.3316]. Recommendation = [0.0, -1.1595, 1.8613], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.4276, 0.1919]. Recommendation = [0.0, -1.1595, 1.8613], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.4668, -0.1001]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.3063, 0.5405]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.5809, 0.3959]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.1456, 0.1485]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.6079, 0.0996]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, -0.0013, 0.5647]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.3997, 0.9209]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.2068, -0.1560]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.3832, 0.2906]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.2529, 0.0467]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.3855, -0.3363]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.5291, 0.6302]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.1568, 0.4574]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, -0.3346, 0.8550]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, 0.0524, 0.9090]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, -0.9684, 1.3364]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, -1.0829, 1.5794]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.1595, 1.8613] = 424.9305, sampling [1.0, -0.7611, 1.1269]. Recommendation = [0.0, 0.4276, 0.1919], Current Cost = 5025.00, Rho = 1.000
