(iter 10) [0.0, -0.0161, 0.3050] = 445.9783, sampling [1.0, 0.0004, 0.9421]. Recommendation = [0.0, 0.0152, 0.5174], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0161, 0.3050] = 445.9783, sampling [1.0, 1.0775, 1.3557]. Recommendation = [0.0, -0.0161, 0.3050], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0161, 0.3050] = 445.9783, sampling [1.0, 1.0617, 1.6785]. Recommendation = [0.0, 1.0775, 1.3557], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0161, 0.3050] = 445.9783, sampling [1.0, 0.8825, 0.9868]. Recommendation = [0.0, 1.0775, 1.3557], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0161, 0.3050] = 445.9783, sampling [1.0, 1.2096, 1.2176]. Recommendation = [0.0, 1.0775, 1.3557], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0161, 0.3050] = 445.9783, sampling [1.0, 1.2988, 1.4472]. Recommendation = [0.0, 1.0775, 1.3557], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0161, 0.3050] = 445.9783, sampling [1.0, 0.9129, 1.3075]. Recommendation = [0.0, 1.0775, 1.3557], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0161, 0.3050] = 445.9783, sampling [1.0, 0.6052, 0.6841]. Recommendation = [0.0, 1.0775, 1.3557], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0161, 0.3050] = 445.9783, sampling [1.0, 0.4043, 0.4792]. Recommendation = [0.0, 1.0775, 1.3557], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0161, 0.3050] = 445.9783, sampling [1.0, 0.8925, 0.6830]. Recommendation = [0.0, 1.0775, 1.3557], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0161, 0.3050] = 445.9783, sampling [1.0, 1.1221, 0.8361]. Recommendation = [0.0, 0.8925, 0.6830], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0161, 0.3050] = 445.9783, sampling [1.0, 0.6096, 0.5028]. Recommendation = [0.0, 0.8925, 0.6830], Current Cost = 5016.00, Rho = 1.000
