(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.2436, 0.7881]. Recommendation = [0.0, 1.3208, 1.9135], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, 1.0072, 1.6732]. Recommendation = [0.0, 1.3208, 1.9135], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.9002, 0.7616]. Recommendation = [0.0, 1.3208, 1.9135], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.5937, 0.3585]. Recommendation = [0.0, 1.3208, 1.9135], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.8669, 0.4354]. Recommendation = [0.0, 1.3208, 1.9135], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.9279, 1.0144]. Recommendation = [0.0, 1.3208, 1.9135], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.4046, 0.2140]. Recommendation = [0.0, 1.3208, 1.9135], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.5428, 0.0992]. Recommendation = [0.0, -0.4046, 0.2140], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.1023, 0.1449]. Recommendation = [0.0, -0.4046, 0.2140], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.2811, 0.1036]. Recommendation = [0.0, -0.1023, 0.1449], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.2610, 0.3278]. Recommendation = [0.0, -0.2811, 0.1036], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.1481, -0.0438]. Recommendation = [0.0, -0.2811, 0.1036], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.1610, 0.0622]. Recommendation = [0.0, -0.1481, -0.0438], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, 0.0403, 0.0250]. Recommendation = [0.0, -0.1481, -0.0438], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, -0.2320, -0.0836]. Recommendation = [0.0, -0.1481, -0.0438], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, 0.3173, 0.2668]. Recommendation = [0.0, -0.1481, -0.0438], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, 0.1344, 0.4310]. Recommendation = [0.0, -0.1481, -0.0438], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, 0.1579, 0.1387]. Recommendation = [0.0, -0.1481, -0.0438], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, 0.5919, 0.4993]. Recommendation = [0.0, -0.1481, -0.0438], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, 0.4296, 0.2829]. Recommendation = [0.0, -0.1481, -0.0438], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, 0.4027, 0.4779]. Recommendation = [0.0, -0.1481, -0.0438], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, 0.4857, 0.1087]. Recommendation = [0.0, -0.1481, -0.0438], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, 0.4144, 0.0498]. Recommendation = [0.0, -0.1481, -0.0438], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.3208, 1.9135] = 453.3378, sampling [1.0, 0.6036, 0.1562]. Recommendation = [0.0, 0.4144, 0.0498], Current Cost = 5028.00, Rho = 1.000
