(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.0909, 0.5867]. Recommendation = [0.0, 0.7096, -0.4061], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.3200, 0.6232]. Recommendation = [0.0, -0.0909, 0.5867], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.5288, 0.7966]. Recommendation = [0.0, -0.3200, 0.6232], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.3893, 0.8982]. Recommendation = [0.0, -0.5288, 0.7966], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.4779, 0.5888]. Recommendation = [0.0, -0.5288, 0.7966], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.6200, 0.5790]. Recommendation = [0.0, -0.4779, 0.5888], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.4695, 0.4322]. Recommendation = [0.0, -0.4779, 0.5888], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.5614, 0.5046]. Recommendation = [0.0, -0.4695, 0.4322], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.2578, 0.2044]. Recommendation = [0.0, -0.4695, 0.4322], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.4546, 0.2180]. Recommendation = [0.0, -0.2578, 0.2044], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.0943, 0.2745]. Recommendation = [0.0, -0.2578, 0.2044], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.2348, 0.0760]. Recommendation = [0.0, -0.2578, 0.2044], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.3276, 0.1351]. Recommendation = [0.0, -0.2348, 0.0760], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.1044, -0.0383]. Recommendation = [0.0, -0.2348, 0.0760], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, 0.0472, 0.1117]. Recommendation = [0.0, -0.2348, 0.0760], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.7096, -0.4061] = 373.4664, sampling [1.0, -0.1636, -0.0202]. Recommendation = [0.0, -0.2348, 0.0760], Current Cost = 5020.00, Rho = 1.000
