(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.4533, 0.1934]. Recommendation = [0.0, -0.0716, 0.1150], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.6995, 0.5588]. Recommendation = [0.0, 0.4533, 0.1934], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.3542, 0.4322]. Recommendation = [0.0, 0.4533, 0.1934], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.8011, 0.2790]. Recommendation = [0.0, 0.4533, 0.1934], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.2145, 0.0595]. Recommendation = [0.0, 0.4533, 0.1934], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.9328, 0.8284]. Recommendation = [0.0, 0.4533, 0.1934], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 1.2261, 0.6830]. Recommendation = [0.0, 0.4533, 0.1934], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.5685, 0.7393]. Recommendation = [0.0, 0.4533, 0.1934], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.1470, 0.2714]. Recommendation = [0.0, 0.4533, 0.1934], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.8151, 0.6392]. Recommendation = [0.0, 0.4533, 0.1934], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.6381, 0.2097]. Recommendation = [0.0, 0.8151, 0.6392], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.4688, 0.4755]. Recommendation = [0.0, 0.8151, 0.6392], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.8432, 1.1167]. Recommendation = [0.0, 0.8151, 0.6392], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.7305, 0.7084]. Recommendation = [0.0, 0.8151, 0.6392], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.3046, 0.1736]. Recommendation = [0.0, 0.8151, 0.6392], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.4765, -0.1160]. Recommendation = [0.0, 0.8151, 0.6392], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.3634, 0.0472]. Recommendation = [0.0, 0.8151, 0.6392], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.9186, 0.6450]. Recommendation = [0.0, 0.8151, 0.6392], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 0.1173, -0.1079]. Recommendation = [0.0, 0.8151, 0.6392], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.0716, 0.1150] = 453.9438, sampling [1.0, 1.1156, 1.0364]. Recommendation = [0.0, 0.8151, 0.6392], Current Cost = 5024.00, Rho = 1.000
