(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 0.7665, 1.2203]. Recommendation = [0.0, 1.0334, 1.6437], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 0.6390, 1.5471]. Recommendation = [0.0, 1.0334, 1.6437], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 1.1498, 1.1742]. Recommendation = [0.0, 1.0334, 1.6437], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 0.8523, 0.8722]. Recommendation = [0.0, 1.1498, 1.1742], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 1.1757, 0.7409]. Recommendation = [0.0, 1.1498, 1.1742], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 0.9532, 1.0231]. Recommendation = [0.0, 1.1498, 1.1742], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 1.1780, 1.3890]. Recommendation = [0.0, 1.1498, 1.1742], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 1.4028, 1.0809]. Recommendation = [0.0, 1.0770, 1.2515], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 1.0023, 1.2804]. Recommendation = [0.0, 1.1498, 1.1742], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 0.5858, 0.9364]. Recommendation = [0.0, 1.1498, 1.1742], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 0.6660, 0.5577]. Recommendation = [0.0, 1.1498, 1.1742], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 0.8719, 0.5242]. Recommendation = [0.0, 1.1498, 1.1742], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 0.7145, 0.7082]. Recommendation = [0.0, 1.1498, 1.1742], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.0334, 1.6437] = 423.1369, sampling [1.0, 0.4070, 0.6757]. Recommendation = [0.0, 1.1498, 1.1742], Current Cost = 5018.00, Rho = 1.000
