(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.6609, -0.0722]. Recommendation = [0.0, 1.0246, 0.2601], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.4784, -0.3431]. Recommendation = [0.0, 0.6609, -0.0722], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.7386, -0.2915]. Recommendation = [0.0, 0.6609, -0.0722], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.4659, 0.0498]. Recommendation = [0.0, 0.6609, -0.0722], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.2871, -0.1433]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.5651, 0.2293]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.3082, 0.1977]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.1825, 0.0884]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.5242, 0.1410]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.4474, 0.2793]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.3334, 0.3180]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.5199, 0.4431]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.4840, 0.2382]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.2248, -0.0053]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.6808, 0.1898]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.3976, 0.4143]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.1431, 0.2807]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.0514, -0.2423]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.1897, -0.3141]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.1330, -0.1441]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.0246, 0.2601] = 393.9314, sampling [1.0, 0.0112, -0.4106]. Recommendation = [0.0, 0.4659, 0.0498], Current Cost = 5025.00, Rho = 1.000
