(iter 10) [0.0, -0.7359, -0.8742] = 252.8652, sampling [1.0, -0.5224, -1.0730]. Recommendation = [0.0, -0.7359, -0.8742], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7359, -0.8742] = 252.8652, sampling [1.0, -0.5324, -0.8681]. Recommendation = [0.0, -0.5224, -1.0730], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7359, -0.8742] = 252.8652, sampling [1.0, -0.2963, -0.9529]. Recommendation = [0.0, -0.5324, -0.8681], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7359, -0.8742] = 252.8652, sampling [1.0, -0.3307, -0.8418]. Recommendation = [0.0, -0.2963, -0.9529], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7359, -0.8742] = 252.8652, sampling [1.0, -0.1242, -0.7592]. Recommendation = [0.0, -0.3307, -0.8418], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7359, -0.8742] = 252.8652, sampling [1.0, -0.3024, -0.6706]. Recommendation = [0.0, -0.1242, -0.7592], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7359, -0.8742] = 252.8652, sampling [1.0, -0.2139, -0.7701]. Recommendation = [0.0, -0.3024, -0.6706], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7359, -0.8742] = 252.8652, sampling [1.0, -0.0828, -1.0104]. Recommendation = [0.0, -0.3024, -0.6706], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7359, -0.8742] = 252.8652, sampling [1.0, -0.2061, -0.5262]. Recommendation = [0.0, -0.3024, -0.6706], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7359, -0.8742] = 252.8652, sampling [1.0, -0.0501, -0.5654]. Recommendation = [0.0, -0.2061, -0.5262], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7359, -0.8742] = 252.8652, sampling [1.0, -0.0621, -0.6514]. Recommendation = [0.0, -0.0501, -0.5654], Current Cost = 5015.00, Rho = 1.000
