(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, 0.2591, -0.2160]. Recommendation = [0.0, 0.5639, -0.0855], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, 0.4072, -0.3530]. Recommendation = [0.0, 0.5639, -0.0855], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, 0.2073, 0.0635]. Recommendation = [0.0, 0.5639, -0.0855], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, 0.3846, -0.0042]. Recommendation = [0.0, 0.3667, -0.1784], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, 0.1376, -0.3804]. Recommendation = [0.0, 0.3846, -0.0042], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.0005, -0.0672]. Recommendation = [0.0, 0.3846, -0.0042], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, 0.0354, 0.4047]. Recommendation = [0.0, 0.3846, -0.0042], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.0552, 0.1358]. Recommendation = [0.0, 0.3846, -0.0042], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.4545, 0.8547]. Recommendation = [0.0, 0.1300, -0.0101], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.2824, 0.4300]. Recommendation = [0.0, 0.3846, -0.0042], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.1646, 0.7050]. Recommendation = [0.0, 0.3846, -0.0042], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.6479, 1.2157]. Recommendation = [0.0, 0.3846, -0.0042], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, 0.3328, 0.3030]. Recommendation = [0.0, 0.3846, -0.0042], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, 0.1673, 0.2550]. Recommendation = [0.0, 0.3328, 0.3030], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.3077, 0.2295]. Recommendation = [0.0, 0.3328, 0.3030], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.5081, 0.4815]. Recommendation = [0.0, 0.3328, 0.3030], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.8667, 0.9151]. Recommendation = [0.0, 0.3328, 0.3030], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.6313, 0.7478]. Recommendation = [0.0, 0.3328, 0.3030], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.2178, -0.0953]. Recommendation = [0.0, 0.3328, 0.3030], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.0079, -0.2526]. Recommendation = [0.0, 0.3328, 0.3030], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.4826, 0.2462]. Recommendation = [0.0, 0.3328, 0.3030], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.8550, 1.1348]. Recommendation = [0.0, 0.3328, 0.3030], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.3522, 0.0464]. Recommendation = [0.0, 0.3328, 0.3030], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.1689, 0.2363]. Recommendation = [0.0, 0.3328, 0.3030], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, 0.4406, 0.1579]. Recommendation = [0.0, 0.3328, 0.3030], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.7001, 0.6054]. Recommendation = [0.0, 0.3502, 0.1504], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, 0.2464, 0.5332]. Recommendation = [0.0, 0.3502, 0.1504], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.5639, -0.0855] = 439.8338, sampling [1.0, -0.3579, 0.6643]. Recommendation = [0.0, 0.3502, 0.1504], Current Cost = 5032.00, Rho = 1.000
