(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.1299, 0.7184]. Recommendation = [0.0, -0.0425, 0.0881], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, 0.1440, 0.5342]. Recommendation = [0.0, -0.0425, 0.0881], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.0684, 0.2770]. Recommendation = [0.0, -0.0425, 0.0881], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, 0.1199, 1.0603]. Recommendation = [0.0, -0.0425, 0.0881], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.3408, 0.3878]. Recommendation = [0.0, -0.0425, 0.0881], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.5860, 0.8020]. Recommendation = [0.0, -0.3408, 0.3878], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.4203, 0.6212]. Recommendation = [0.0, -0.3408, 0.3878], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.4510, 1.1109]. Recommendation = [0.0, -0.3408, 0.3878], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.6815, 0.4504]. Recommendation = [0.0, -0.3408, 0.3878], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.4034, 0.2146]. Recommendation = [0.0, -0.3408, 0.3878], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.5117, 0.3309]. Recommendation = [0.0, -0.4311, 0.3471], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.2132, 0.3725]. Recommendation = [0.0, -0.4311, 0.3471], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.2169, 0.1293]. Recommendation = [0.0, -0.4311, 0.3471], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.8210, 0.7093]. Recommendation = [0.0, -0.2169, 0.1293], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.8469, 0.9815]. Recommendation = [0.0, -0.2169, 0.1293], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.7541, 0.8227]. Recommendation = [0.0, -0.2169, 0.1293], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -1.0939, 0.7782]. Recommendation = [0.0, -0.2169, 0.1293], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.9769, 0.4095]. Recommendation = [0.0, -0.2169, 0.1293], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.9641, 0.6758]. Recommendation = [0.0, -0.2169, 0.1293], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -1.0701, 1.1782]. Recommendation = [0.0, -0.2169, 0.1293], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.9612, 0.9159]. Recommendation = [0.0, -0.2169, 0.1293], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -1.3290, 0.9456]. Recommendation = [0.0, -0.2169, 0.1293], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.6736, 0.1703]. Recommendation = [0.0, -0.2169, 0.1293], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.0425, 0.0881] = 454.4681, sampling [1.0, -0.7644, 0.5879]. Recommendation = [0.0, -0.2169, 0.1293], Current Cost = 5028.00, Rho = 1.000
