(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, -0.0234, -0.4284]. Recommendation = [0.0, -0.0058, -0.6188], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, -0.1110, -0.3197]. Recommendation = [0.0, -0.0234, -0.4284], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, 0.0361, -0.3033]. Recommendation = [0.0, -0.1110, -0.3197], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, -0.1326, -0.0682]. Recommendation = [0.0, 0.0361, -0.3033], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, 0.1229, 0.0185]. Recommendation = [0.0, -0.1326, -0.0682], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, -0.1174, 0.1198]. Recommendation = [0.0, -0.1326, -0.0682], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, -0.2349, -0.1851]. Recommendation = [0.0, -0.1326, -0.0682], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, -0.0294, 0.3760]. Recommendation = [0.0, -0.1326, -0.0682], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, -0.0471, 0.1700]. Recommendation = [0.0, -0.1326, -0.0682], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, -0.2974, 0.2149]. Recommendation = [0.0, -0.1326, -0.0682], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, -0.3685, -0.0002]. Recommendation = [0.0, -0.1230, -0.0170], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, -0.1272, 0.0513]. Recommendation = [0.0, -0.1230, -0.0170], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, -0.2370, 0.4186]. Recommendation = [0.0, -0.1230, -0.0170], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, 0.1032, 0.7773]. Recommendation = [0.0, -0.1230, -0.0170], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, 0.1740, 0.3394]. Recommendation = [0.0, -0.1230, -0.0170], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, 0.1586, -0.1107]. Recommendation = [0.0, -0.1230, -0.0170], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, 0.0909, 0.5494]. Recommendation = [0.0, -0.1230, -0.0170], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, 0.5184, 1.3152]. Recommendation = [0.0, -0.1230, -0.0170], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.0058, -0.6188] = 416.9871, sampling [1.0, -0.4420, 0.2499]. Recommendation = [0.0, -0.1230, -0.0170], Current Cost = 5023.00, Rho = 1.000
