(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 0.1238, 0.7811]. Recommendation = [0.0, -0.3854, 0.5493], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, -0.2985, 0.3928]. Recommendation = [0.0, -0.4452, 0.4801], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 0.8368, 1.4327]. Recommendation = [0.0, -0.2985, 0.3928], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, -0.3504, 1.0600]. Recommendation = [0.0, -0.2985, 0.3928], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, -0.0805, 0.2060]. Recommendation = [0.0, -0.2985, 0.3928], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, -0.5697, 0.4963]. Recommendation = [0.0, -0.1836, 0.2321], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 0.7636, 0.7412]. Recommendation = [0.0, -0.1836, 0.2321], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 1.2772, 1.0783]. Recommendation = [0.0, 0.7636, 0.7412], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 0.3393, 0.2974]. Recommendation = [0.0, 0.7636, 0.7412], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 0.5493, 0.5266]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 0.0482, 0.4485]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 0.6667, 1.0133]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 1.3839, 1.5236]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, -0.3729, 0.2151]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 1.0407, 0.8091]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, -0.3595, 0.6600]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 0.8894, 0.5135]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 0.1645, 0.0777]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 0.6041, 0.3047]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 1.0651, 1.9881]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 0.4681, 0.7879]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, -0.5679, 0.2947]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 1.0053, 1.0606]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 1.8568, 1.4503]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 1.1637, 1.4369]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 1.2450, 1.6733]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 1.3842, 1.8218] = 455.2642, sampling [1.0, 0.1254, 0.2503]. Recommendation = [0.0, 0.3393, 0.2974], Current Cost = 5031.00, Rho = 1.000
