(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.5629, 0.5947]. Recommendation = [0.0, -1.3929, 1.9970], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.7415, 0.8489]. Recommendation = [0.0, -1.3929, 1.9970], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.2398, 0.8847]. Recommendation = [0.0, 0.7068, 0.6191], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.7068, 0.6191]. Recommendation = [0.0, 0.7068, 0.6191], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.0637, 1.7358]. Recommendation = [0.0, 0.7068, 0.6191], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.6130, 1.3515]. Recommendation = [0.0, 0.7068, 0.6191], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.3363, 1.6316]. Recommendation = [0.0, 0.7068, 0.6191], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.1059, 1.3832]. Recommendation = [0.0, 0.7068, 0.6191], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.3287, 0.7380]. Recommendation = [0.0, 0.7068, 0.6191], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.0811, 0.4994]. Recommendation = [0.0, 0.7068, 0.6191], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.8897, 0.9365]. Recommendation = [0.0, 0.7068, 0.6191], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.4218, 0.2982]. Recommendation = [0.0, 0.7068, 0.6191], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.7657, 0.5546]. Recommendation = [0.0, -0.4218, 0.2982], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.1030, 0.1609]. Recommendation = [0.0, -0.4218, 0.2982], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.4823, -0.0393]. Recommendation = [0.0, -0.3748, 0.3739], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.7507, 0.2540]. Recommendation = [0.0, -0.2342, 0.2860], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.3037, 0.9944]. Recommendation = [0.0, -0.4921, 0.3034], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.5288, 0.5116]. Recommendation = [0.0, -0.4921, 0.3034], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.3755, 0.2888]. Recommendation = [0.0, -0.4921, 0.3034], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.0190, -0.1598]. Recommendation = [0.0, 0.3755, 0.2888], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.1359, 0.1598]. Recommendation = [0.0, -0.0190, -0.1598], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.2222, -0.0947]. Recommendation = [0.0, -0.0190, -0.1598], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.2839, -0.5012]. Recommendation = [0.0, -0.1618, -0.0421], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.0481, 0.6753]. Recommendation = [0.0, -0.1618, -0.0421], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.1444, 0.3501]. Recommendation = [0.0, -0.1618, -0.0421], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.0193, 1.1327]. Recommendation = [0.0, -0.1618, -0.0421], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.6824, 0.8900]. Recommendation = [0.0, -0.1618, -0.0421], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.3030, 0.4691]. Recommendation = [0.0, -0.1618, -0.0421], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.4103, 1.3008]. Recommendation = [0.0, -0.1618, -0.0421], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.8276, -0.1350]. Recommendation = [0.0, -0.1618, -0.0421], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.0782, 0.3604]. Recommendation = [0.0, -0.1618, -0.0421], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.3223, -0.2630]. Recommendation = [0.0, -0.1618, -0.0421], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.2164, 1.0535]. Recommendation = [0.0, -0.1618, -0.0421], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.2563, 0.1018]. Recommendation = [0.0, -0.1618, -0.0421], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.5763, 0.1542]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.5900, 1.6931]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.5407, 0.3941]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.1976, 1.8922]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.7778, 0.7355]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.6003, -0.4745]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.0931, 0.9075]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.3020, 0.4472]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.3281, -0.1360]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.0288, -0.3426]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.1762, -0.0143]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.4504, 0.1285]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.8627, 1.5105]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.7910, 1.1045]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.0607, 0.0135]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.3555, 0.6595]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.2123, 1.4815]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.1956, 1.1671]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.7158, 0.4162]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.0727, -0.6636]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.5646, 1.0385]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.7865, 1.8985]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.4800, 0.6894]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.6743, 0.3681]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -1.4171, 1.8752]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.2959, 0.0693]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.1641, 0.5361]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, 0.2285, -0.3870]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, -1.3929, 1.9970] = 450.2515, sampling [1.0, -0.4041, 0.1503]. Recommendation = [0.0, -0.2563, 0.1018], Current Cost = 5067.00, Rho = 1.000
