(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.2769, -0.1131]. Recommendation = [0.0, -0.3141, -0.2483], Current Cost = 5005.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.3936, -0.0543]. Recommendation = [0.0, -0.2769, -0.1131], Current Cost = 5006.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.2473, -0.0158]. Recommendation = [0.0, -0.2769, -0.1131], Current Cost = 5007.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.1851, 0.1108]. Recommendation = [0.0, -0.2473, -0.0158], Current Cost = 5008.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.3275, 0.1476]. Recommendation = [0.0, -0.1851, 0.1108], Current Cost = 5009.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.1430, 0.0350]. Recommendation = [0.0, -0.1851, 0.1108], Current Cost = 5010.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.2519, 0.2933]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5011.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.0994, 0.0177]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5012.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, 0.0075, 0.1275]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5013.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.4186, 0.1684]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5014.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.3014, 0.2845]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5015.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.2736, 0.4080]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5016.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.3097, 0.3430]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5017.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, 0.0115, -0.0309]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5018.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.0643, -0.1864]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5019.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.0579, 0.4190]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5020.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.5276, 0.4621]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5021.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.5427, 0.2228]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5022.00, Rho = 0.992
(iter 10) [0.0, -0.3141, -0.2483] = 442.5353, sampling [1.0, -0.4311, 0.5788]. Recommendation = [0.0, -0.1430, 0.0350], Current Cost = 5023.00, Rho = 0.992
