(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.1034, -0.1712]. Recommendation = [0.0, 0.3548, -0.4974], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.6945, 0.3638]. Recommendation = [0.0, -0.1034, -0.1712], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.4517, -0.1334]. Recommendation = [0.0, -0.1034, -0.1712], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -1.2402, 0.5673]. Recommendation = [0.0, -0.1034, -0.1712], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.2123, 0.2087]. Recommendation = [0.0, -0.1034, -0.1712], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, 0.1678, -0.0999]. Recommendation = [0.0, -0.1034, -0.1712], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.4205, 0.1621]. Recommendation = [0.0, -0.1034, -0.1712], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.1312, 0.0409]. Recommendation = [0.0, -0.1034, -0.1712], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.3762, 0.5070]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.8095, 1.1003]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.7010, 0.7070]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, 0.0255, -0.3235]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, 0.0358, 0.1684]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.2364, -0.3299]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.4762, 0.9113]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -1.2259, 1.2285]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.9811, 0.8747]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, 0.2974, -0.2661]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.7540, 0.0504]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.1630, 0.4230]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.5002, 0.4191]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -1.0039, 1.5067]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.9635, 1.2890]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, 0.0726, -0.4803]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.5616, 0.1723]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.0315, -0.2176]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.1946, 0.0749]. Recommendation = [0.0, -0.1312, 0.0409], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -1.2467, 1.0254]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.7740, -0.3144]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, 0.1222, -0.3436]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.8788, 0.4444]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.6836, 0.5005]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.9704, 1.0606]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.2741, 0.3596]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.0841, -0.4704]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.2865, 0.1818]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.6536, 1.4318]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.8160, 0.7628]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.2990, -0.2086]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -0.9296, 0.2252]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.3548, -0.4974] = 417.0410, sampling [1.0, -1.2541, 1.4470]. Recommendation = [0.0, -0.1946, 0.0749], Current Cost = 5045.00, Rho = 1.000
