(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.1794, 0.3927]. Recommendation = [0.0, -0.0087, -0.2773], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.3027, 0.9104]. Recommendation = [0.0, -0.0087, -0.2773], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.1413, 0.1858]. Recommendation = [0.0, -0.0087, -0.2773], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.1547, 0.5984]. Recommendation = [0.0, 0.0214, 0.3759], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.7454, 0.8376]. Recommendation = [0.0, 0.0214, 0.3759], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.2308, 0.0477]. Recommendation = [0.0, 0.0214, 0.3759], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.5290, 0.4291]. Recommendation = [0.0, -0.0323, 0.2332], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.6460, 1.1540]. Recommendation = [0.0, -0.0323, 0.2332], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.2843, 0.6313]. Recommendation = [0.0, -0.0323, 0.2332], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -1.0986, 0.8772]. Recommendation = [0.0, -0.0323, 0.2332], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.8802, 1.0508]. Recommendation = [0.0, -0.0323, 0.2332], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.8942, 0.5901]. Recommendation = [0.0, -0.0323, 0.2332], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.2251, 0.9289]. Recommendation = [0.0, -0.0323, 0.2332], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.0323, 0.2332]. Recommendation = [0.0, -0.1986, 0.1259], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.5322, 0.6426]. Recommendation = [0.0, -0.2308, 0.0477], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.4530, 0.2394]. Recommendation = [0.0, -0.2308, 0.0477], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.3358, 0.4146]. Recommendation = [0.0, -0.1986, 0.1259], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.1921, -0.0697]. Recommendation = [0.0, 0.3358, 0.4146], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.0598, 0.3985]. Recommendation = [0.0, 0.0434, 0.0673], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.1861, -0.1783]. Recommendation = [0.0, 0.0434, 0.0673], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.8093, 0.2742]. Recommendation = [0.0, -0.1462, -0.0363], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.5629, -0.0200]. Recommendation = [0.0, -0.1462, -0.0363], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.0434, 0.0673]. Recommendation = [0.0, -0.1462, -0.0363], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.4037, 0.1997]. Recommendation = [0.0, -0.1462, -0.0363], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.2186, 1.3368]. Recommendation = [0.0, 0.4037, 0.1997], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -1.3170, 1.1629]. Recommendation = [0.0, 0.4037, 0.1997], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -1.1061, 1.0665]. Recommendation = [0.0, 0.4037, 0.1997], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -1.1967, 0.6198]. Recommendation = [0.0, 0.4037, 0.1997], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.7766, 1.5654]. Recommendation = [0.0, 0.4037, 0.1997], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.0028, 0.6617]. Recommendation = [0.0, 0.4037, 0.1997], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.9559, 0.8229]. Recommendation = [0.0, 0.4037, 0.1997], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.7935, 0.4774]. Recommendation = [0.0, 0.4037, 0.1997], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -1.2227, 1.4035]. Recommendation = [0.0, 0.4037, 0.1997], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.6258, 0.2215]. Recommendation = [0.0, 0.4037, 0.1997], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.5138, 0.3653]. Recommendation = [0.0, 0.4037, 0.1997], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.1462, -0.0363]. Recommendation = [0.0, 0.4041, 0.2688], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.3242, 0.3036]. Recommendation = [0.0, 0.4041, 0.2688], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, -0.5024, 0.8530]. Recommendation = [0.0, 0.4041, 0.2688], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.6600, 0.8242]. Recommendation = [0.0, 0.4041, 0.2688], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.7275, 0.5286]. Recommendation = [0.0, 0.4041, 0.2688], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.0087, -0.2773] = 447.5888, sampling [1.0, 0.4749, 0.8478]. Recommendation = [0.0, 0.4037, 0.1997], Current Cost = 5045.00, Rho = 1.000
